	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187075	11.922652818909926	6.551105504040413	14.061560686300243	25.745865961339437	41.71881502940998	12282904
SRZ187076	21.1711064337358	15.488944394820605	19.068076428393407	26.67018076216153	17.601691980888656	13192584
SRZ187077	16.008588923874825	3.6223682069387917	30.737160616766715	42.442074340874576	7.189807911545091	21078310
SRZ187078	10.922966077158602	5.761646926192252	16.28076587479613	25.846950215480025	41.187670906372986	40327636
SRZ187079	18.51245315716973	6.070867832861819	25.657651119043738	37.80494127057011	11.954086620354598	2160416
SRZ187080	18.492236264293485	12.189419313968333	21.84376393575625	30.66512369047305	16.809456795508883	1439642
SRZ187081	15.442832966505296	14.76372007967321	25.248142227219226	25.310716314352806	19.23458841224946	2390766
SRZ187082	13.944950497371684	5.111582471642631	31.603037881164376	36.32843535340802	13.011993796413295	8186232
SRZ187083	18.42285381458661	6.358802346346252	24.04295327412278	36.846188074316736	14.329202490627624	5411648
SRZ187084	19.026769458614723	9.734569676822584	26.61410501651654	29.37105483625605	15.253501011790101	4769764
SRZ187085	16.012029235371724	4.896846326047499	27.272635999541922	42.506718205591994	9.31177023344686	6374470
SRZ187086	16.043587184054605	7.1851863936366875	22.64977614002388	35.34438545312909	18.777064829155734	3922988
SRZ187087	18.708728906500983	10.545143213444133	26.661929547752848	27.17078474225695	16.91341359004509	6318890
SRZ187088	17.88285553910276	5.79215125508294	26.73307612789832	35.31970771032132	14.272209367594655	3937190
SRZ187089	17.279016859367392	6.587105143017263	22.749232993617095	32.85646615688581	20.528178847112443	4196836
SRZ187090	15.27028797598869	5.556971026782828	30.067789356217183	32.881865232312244	16.223086408699054	5785274
SRZ187091	17.090936013397542	5.033775399329706	26.974281060541283	38.168234648825525	12.732772877905946	3835928
SRZ187092	13.971972752334818	6.948238447457293	18.782227195902582	23.50692665323354	36.790634951071766	3817428
SRZ187093	25.806369545168778	36.876921834980884	13.13460000146775	13.444490923190203	10.737617695192386	4087890
SRZ187094	14.033427974654208	5.092190978866787	31.157192848014937	37.08303825188368	12.634149946580392	5574732
SRZ187095	7.477752917069696	5.207000182322431	15.767072568965867	20.12275901291849	51.425415318723516	5605454
SRZ187096	16.99503981338526	12.525893570636109	26.990733916245777	24.081861182014023	19.40647151771883	3093432
SRZ187097	15.728908695647759	6.230193664206391	28.542243531749538	34.8701171448618	14.628536963534511	3939396
SRZ187098	8.666578884622366	5.501265129057399	14.477008814977989	20.301495734860268	51.05365143648198	2247992
SRZ187099	16.656497864551557	11.70263795486139	28.23307890945146	24.31602915751135	19.091756113624246	4415466
SRZ187100	14.89815411412573	6.1710050936506	29.480815277696664	32.067276653745054	17.382748860781955	6267018
