	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187512	73298	13038.0	139380.0	406666.0	490458.0
SRZ187513	198388	38310.0	546834.0	1279506.0	2194188.0
SRZ187514	34308	1880.0	154868.0	325046.0	378428.0
SRZ187515	30412	7898.0	154628.0	360158.0	355028.0
SRZ187516	67482	17276.0	88132.0	208426.0	607268.0
SRZ187517	64886	7874.0	169506.0	479650.0	354154.0
SRZ187518	35276	2126.0	57536.0	222160.0	127174.0
SRZ187519	24066	2482.0	45048.0	115358.0	97176.0
SRZ187520	218198	65822.0	314054.0	879554.0	1040036.0
SRZ187521	61010	22180.0	358194.0	1636134.0	178322.0
SRZ187522	359654	70488.0	1254458.0	5854602.0	201080.0
SRZ187523	39342	3490.0	73530.0	223204.0	305340.0
SRZ187524	76262	19784.0	171592.0	514192.0	572934.0
SRZ187525	81562	5660.0	111710.0	401014.0	360954.0
SRZ187526	38786	5280.0	113238.0	272696.0	338672.0
SRZ187527	11900	2956.0	35416.0	86980.0	198596.0
SRZ187528	23408	3196.0	98126.0	194478.0	161164.0
SRZ187529	35352	1106.0	118900.0	272130.0	199374.0
SRZ187530	45486	1518.0	100878.0	176672.0	131960.0
SRZ187531	37950	2456.0	110234.0	253608.0	215604.0
SRZ187532	133228	30264.0	506848.0	1399200.0	925678.0
SRZ187533	37326	6402.0	111178.0	218318.0	214540.0
SRZ187534	36218	3430.0	116492.0	204004.0	172252.0
SRZ187535	32246		95816.0	198204.0	198490.0
SRZ187536	40416	4066.0	84744.0	223938.0	153796.0
SRZ187537	61052	7402.0	160030.0	352802.0	360380.0
SRZ187538	48174	8816.0	283782.0	523872.0	651976.0
SRZ187539	57796	5236.0	151132.0	420524.0	390082.0
SRZ187540	80264	11618.0	152186.0	421246.0	495544.0
SRZ187541	104224	14886.0	253194.0	790058.0	486902.0
SRZ187542	62734	6430.0	173738.0	451574.0	352906.0
SRZ187543	26126	1608.0	88818.0	98440.0	46160.0
SRZ187544	88356	10210.0	95444.0	402750.0	294944.0
SRZ187545	62188	4610.0	163678.0	467360.0	269916.0
SRZ187546	83876	13740.0	47758.0	172234.0	543158.0
SRZ187547	68716	22198.0	453288.0	1952948.0	94964.0
SRZ187548	204612	77902.0	636154.0	4243198.0	144588.0
SRZ187549	23846	1390.0	56170.0	115658.0	122500.0
SRZ187550	36036	9710.0	99230.0	199302.0	722290.0
SRZ187551	31092	23776.0	56350.0	104116.0	1054622.0
SRZ187552	42276	3790.0	81408.0	165972.0	188446.0
SRZ187553	18568	4022.0	44760.0	181916.0	336284.0
SRZ187554	21858	588.0	30448.0	125944.0	166908.0
SRZ187555	25686	2740.0	61470.0	126304.0	239798.0
SRZ187556	19602	3080.0	47564.0	117872.0	331778.0
SRZ187557	29512	1414.0	71328.0	138496.0	136708.0
SRZ187558	41914	5634.0	115416.0	327944.0	277130.0
SRZ187559	42404	4402.0	117656.0	225994.0	251368.0
SRZ187560	37274	7346.0	130118.0	310570.0	522286.0
SRZ187561	32854	1012.0	161432.0	340726.0	382730.0
SRZ187562	15160	2636.0	62346.0	161564.0	227242.0
SRZ187563	11316	2018.0	92220.0	189088.0	234072.0
SRZ187564	58122	4542.0	245412.0	451958.0	567728.0
SRZ187565	25998	1264.0	43278.0	133314.0	137256.0
SRZ187566	32244	4680.0	84170.0	178400.0	230330.0
SRZ187567	37960	5620.0	124166.0	259396.0	233278.0
SRZ187568	31558	3594.0	71546.0	207238.0	217890.0
SRZ187569	49894	8358.0	55192.0	177418.0	266304.0
SRZ187570	17740	5124.0	68864.0	200856.0	230044.0
SRZ187571	52750	9084.0	122440.0	391828.0	434794.0
SRZ187572	30474		41292.0	83426.0	20430.0
SRZ187573	21798	1142.0	71416.0	143606.0	184446.0
SRZ187574	52210	7378.0	119756.0	360948.0	493088.0
SRZ187575	37780	7100.0	76188.0	230094.0	365654.0
SRZ187576	43654	4858.0	60778.0	202526.0	259074.0
SRZ187577	55268	6356.0	125718.0	313724.0	454078.0
SRZ187578	45486	7202.0	60294.0	199568.0	333130.0
SRZ187579	11822	1960.0	37708.0	55324.0	119714.0
SRZ187580	10996	774.0	37888.0	57070.0	142020.0
SRZ187581	24306	2562.0	52528.0	148066.0	222866.0
SRZ187582	33084	11544.0	131460.0	273388.0	486224.0
SRZ187583	59256	12056.0	146668.0	326256.0	589992.0
SRZ187584	43894	3698.0	42162.0	150854.0	99996.0
SRZ187585	76480	3006.0	122512.0	358446.0	273054.0
SRZ187586	60294	22432.0	38582.0	115526.0	93396.0
SRZ187587	42394	4816.0	72184.0	248036.0	231412.0
SRZ187588	30854	742.0	59496.0	124368.0	68612.0
SRZ187589	26194	1770.0	47102.0	125162.0	73420.0
SRZ187590	23368	1732.0	73722.0	148104.0	186586.0
SRZ187591	55106	3664.0	41092.0	165938.0	163020.0
SRZ187592	35980	4412.0	76584.0	139346.0	150574.0
SRZ187593	44900	4126.0	66066.0	202434.0	184536.0
SRZ187594	11314	5658.0	60854.0	133356.0	184528.0
SRZ187595	28584	12030.0	101464.0	162624.0	137736.0
SRZ187596	17782	266.0	26648.0	76010.0	106080.0
SRZ187597	93532	6082.0	136004.0	406510.0	233230.0
SRZ187598	59474	8760.0	104130.0	338840.0	251188.0
SRZ187599	34832	1654.0	72434.0	135654.0	145224.0
SRZ187600	45698	7870.0	143538.0	279108.0	386408.0
SRZ187601	106476	40096.0	204502.0	488148.0	1019996.0
SRZ187602	100194	27898.0	237460.0	660522.0	990244.0
SRZ187603	30206	11832.0	96644.0	231212.0	399774.0
SRZ187604	174326	22212.0	168064.0	737060.0	1378888.0
SRZ187605	92320	18980.0	115172.0	286164.0	922342.0
SRZ187606	80786	32634.0	126722.0	369396.0	1082560.0
SRZ187607	36206	10564.0	74600.0	191854.0	572218.0
SRZ187608	19508	4166.0	74606.0	188406.0	490320.0
SRZ187609	121398	17722.0	53874.0	320548.0	251324.0
SRZ187610	54738	16248.0	213920.0	889632.0	107568.0
SRZ187611	39736	15042.0	92372.0	275362.0	777280.0
SRZ187612	90032	22266.0	74362.0	254814.0	688922.0
SRZ187613	105668	13832.0	118668.0	381842.0	1050096.0
SRZ187614	64334	6134.0	103836.0	291164.0	619616.0
SRZ187615	62398	10844.0	238532.0	448216.0	738344.0
SRZ187616	70046	18590.0	139438.0	392646.0	1048288.0
SRZ187617	81838	17136.0	136808.0	467120.0	1241928.0
SRZ187618	58708	8162.0	84066.0	305426.0	550426.0
SRZ187619	81644	6976.0	121634.0	445248.0	881686.0
SRZ187620	71454	14284.0	149640.0	488914.0	928402.0
SRZ187621	75358	36916.0	104316.0	363226.0	964364.0
SRZ187622	40932	11270.0	188020.0	946582.0	93444.0
SRZ187623	99900	33260.0	655086.0	1905728.0	133106.0
SRZ187624	75498	7406.0	84882.0	378962.0	1062432.0
SRZ187625	55472	8690.0	103408.0	228036.0	628048.0
SRZ187626	46410	10358.0	69440.0	229564.0	513990.0
SRZ187627	126590	32334.0	285492.0	918774.0	1498592.0
SRZ187628	63348	17236.0	173604.0	524674.0	812626.0
SRZ187629	62250	15978.0	93312.0	256632.0	770094.0
SRZ187630	47200	7544.0	125980.0	311864.0	715958.0
SRZ187631	57890	3948.0	101554.0	237576.0	612014.0
SRZ187632	922094	223682.0	350304.0	1043262.0	622588.0
SRZ187633	1908302	358624.0	287256.0	911496.0	835068.0
SRZ187634	968696	185446.0	111144.0	323656.0	339884.0
SRZ187635	324552	86642.0	24986.0	92512.0	183590.0
SRZ187636	1780358	166568.0	150026.0	393210.0	367174.0
SRZ187637	2218680	171918.0	191228.0	564192.0	488794.0
SRZ187638	2823718	62268.0	422510.0	1247224.0	251836.0
SRZ187639	720764	114538.0	379920.0	1549816.0	455718.0
SRZ187640	2088298	37074.0	229660.0	790890.0	184234.0
SRZ187641	774124	51152.0	145940.0	665182.0	177422.0
SRZ187642	1126918	171638.0	415450.0	1631742.0	425600.0
SRZ187643	710634	222402.0	754876.0	2677824.0	769862.0
SRZ187644	379846	89632.0	433470.0	1459850.0	168658.0
SRZ187645	130558	43936.0	242718.0	812734.0	89004.0
SRZ187646	78532	42210.0	166238.0	715772.0	50796.0
SRZ187647	64966	41104.0	151986.0	737470.0	40144.0
SRZ187648	200	228.0	324.0	442.0	238.0
SRZ187649	1836	4470.0	5194.0	11562.0	3438.0
SRZ187650	1318	404.0	1064.0	470.0	
SRZ187651	2036	1190.0		180.0	
SRZ187652	2200	964.0		188.0	
SRZ187653	804				
SRZ187654	1368	562.0	2476.0	1266.0	516.0
SRZ187655	17256	16980.0	39828.0	144562.0	16768.0
SRZ187656	2518	1716.0	1340.0	3370.0	1074.0
SRZ187657	232590	78292.0	359536.0	1505390.0	175736.0
SRZ187658	155158	66054.0	280624.0	1043172.0	123416.0
SRZ187659	1670858	447466.0	2600116.0	8589716.0	2121264.0
SRZ187660	2372072	705918.0	4651382.0	15579694.0	3182536.0
SRZ187661	651488	196976.0	1482074.0	4884616.0	758846.0
SRZ187662	24668	5218.0	120362.0	440872.0	14530.0
