	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187075	6.408211825249703	4.651117321011906	8.963137168100785	33.82869896429922	46.14883472133839	5421450.0
SRZ187076	13.793988378282721	7.424139165462913	17.6836919324622	43.72236315008297	17.3758173737092	4933178.0
SRZ187077	11.592313690375025	2.2389954679968413	27.11120229264101	55.80956823039935	3.2479203185877767	10908642.0
SRZ187078	5.55962716079454	2.8870050178916493	12.667861766227508	30.538463478502976	48.34704257658333	24107336.0
SRZ187079	16.72863820418894	3.4204611785469705	21.25309666181006	55.302128481015565	3.295675474438464	870292.0
SRZ187080	17.98731163655336	5.572971242924725	16.56940675105115	48.09521095390713	11.775099415563632	456166.0
SRZ187081	19.12701897235305	11.649171123706129	18.475093797397623	38.01954445065326	12.729171655889944	601296.0
SRZ187082	9.98859913685027	3.1475695386130043	29.890627446605787	49.016752309595866	7.9564515683350745	3908476.0
SRZ187083	16.247711299755494	3.3402499349548562	18.996737238627603	51.78449937863707	9.630802148024971	2475204.0
SRZ187084	21.164694069340758	6.8440051193323725	18.58928846335013	40.41147667923523	12.990535668741513	1740852.0
SRZ187085	12.440637499318354	3.193068309256401	22.91374744234458	57.02629139371178	4.426255355368883	3374184.0
SRZ187086	13.045653968980371	3.6694290518021826	18.841390013629535	48.20080185441269	16.242725111175226	2010340.0
SRZ187087	21.96582899554183	8.746535400292467	20.641008763346935	34.5766161312474	14.070010709571369	2248456.0
SRZ187088	14.667434454232955	4.046334106972939	22.436601931407075	49.691890126790284	9.157739380596745	1708806.0
SRZ187089	15.659124065889339	4.082354497110395	16.804713587241245	44.71653989725167	18.73726795250735	1950786.0
SRZ187090	14.858918046109933	2.7045138147640473	22.117057674919288	47.472328023270094	12.84718244093664	2426462.0
SRZ187091	14.020587313558767	2.9948835922531822	21.949240000505096	54.060122669807456	6.975166423875498	1742238.0
SRZ187092	9.137617753337059	3.4586759436404613	9.946148320791748	29.954361354244064	47.50319662798667	1456222.0
SRZ187093	31.864669263086878	27.53745131712104	9.562927412677482	20.35864331932902	10.67630868778558	1043488.0
SRZ187094	10.426775522893193	3.17012553675929	26.332337682754282	54.03362131245706	6.037139945136179	2264516.0
SRZ187095	2.6554242458001522	2.5741880240407173	8.970625665279119	23.628112123875887	62.17164994100413	2459494.0
SRZ187096	22.05498402548004	9.80570727156189	15.66319624035775	34.5012509868071	17.97486147579322	808162.0
SRZ187097	11.814513805640306	3.4926225165376774	24.24682773129911	53.4990169445315	6.947019001991408	1423114.0
SRZ187098	2.9713516189350058	2.334147434408557	7.930329839971659	27.3540307387674	59.41014036791738	852474.0
SRZ187099	22.555905710323962	9.233329131476113	18.796251943358964	32.624059834446825	16.790453380394133	1189950.0
SRZ187100	10.707184526817178	4.39992387902014	25.46603007528665	48.350040263498585	11.07682125537745	2133446.0
SRZ187101	13.396621010832694	2.9011691911130737	16.682886371569474	44.393342263618436	22.625981162866324	3351890.0
SRZ187102	16.520474551459376	7.9189700567926735	21.462459494659296	35.439857996091334	18.658237900997317	2699644.0
SRZ187103	11.86445147679325	4.581685126582278	22.81293952180028	48.83548699015471	11.905436884669479	1820160.0
SRZ187104	17.490687648947798	2.9251889962588224	16.447084368756556	43.248794579167345	19.88824440686948	2709842.0
SRZ187105	20.244819397002527	11.388897527091677	17.871586841489343	30.58589383303245	19.908802401384005	1221962.0
SRZ187106	11.228745187064611	4.398549998887183	23.309630322049365	45.16341723976765	15.899657252231199	1437792.0
SRZ187107	16.81138324522373	2.7913370887663147	17.93765767975381	48.96041332867681	13.499208657579336	2250606.0
SRZ187108	18.457958655742924	7.820570734037679	22.274811591471163	35.071447373979964	16.37521164476827	3077090.0
SRZ187109	14.048940790505783	4.72784219608793	23.462790742478745	49.64261828550354	8.117807985424001	726674.0
SRZ187110	17.900650938390257	4.134415403085843	24.636467038543007	43.4469333204545	9.881533299526394	3230106.0
SRZ187111	18.47565640318761	8.113660958408774	22.592316999711304	35.064572961085446	15.753792677606866	3443082.0
SRZ187112	12.387670042686434	2.5897275539456617	27.970526633899826	53.35111584938447	3.70095992008361	952996.0
SRZ187113	13.730300662369741	3.0348386555415123	24.541874039616317	53.72484646972136	4.968140172751063	1906790.0
SRZ187114	20.288902519016023	4.8707894992436165	16.531732843003553	45.23185777598014	13.076717362756668	1503206.0
