	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	981304	448744	1062528	2642090	4051758
SRZ187076	1805024	983956	1680022	3038584	1643732
SRZ187077	2615346	464208	4971644	7975124	879720
SRZ187078	3270308	1450996	5011412	9371282	14868146
SRZ187079	305396	66856	373066	699506	128174
SRZ187080	174028	65186	171390	341684	133150
SRZ187081	251278	186422	331232	434092	236094
SRZ187082	823112	245980	1909152	2587408	686538
SRZ187083	743690	186562	881494	1722568	503742
SRZ187084	688192	273940	783540	1100086	453270
SRZ187085	806962	202516	1309130	2445136	375176
SRZ187086	473456	160106	643916	1212548	539832
SRZ187087	876604	396868	1065176	1304562	673338
SRZ187088	532724	129888	751104	1205760	366402
SRZ187089	538678	155726	650424	1190402	625366
SRZ187090	646518	156776	1179502	1596124	609882
SRZ187091	501922	110760	738392	1295766	304508
SRZ187092	344224	122854	403200	690454	1068588
SRZ187093	695760	844254	271606	371832	252178
SRZ187094	566606	155390	1235042	1785320	400896
SRZ187095	232274	140910	516488	885518	2379110
SRZ187096	365414	216472	452752	518524	345654
SRZ187097	436668	128490	730336	1145066	311194
SRZ187098	95882	45122	162866	342842	884588
SRZ187099	517754	290962	711444	753534	487710
SRZ187100	664856	216946	1225700	1651464	654390
SRZ187101	786702	225458	1218526	2054362	1455948
SRZ187102	841130	469726	1561912	1671542	1010994
SRZ187103	598828	191734	947954	1428410	536148
SRZ187104	747808	186756	822078	1515622	907728
SRZ187105	505118	299640	604922	667478	501184
SRZ187106	509910	150150	801356	1089870	532220
SRZ187107	579998	159204	832436	1464072	609360
SRZ187108	1110580	543504	1624306	1743312	990736
SRZ187109	293782	74220	394506	602234	196678
SRZ187110	1058132	281758	1608800	2064330	714570
SRZ187111	1310766	644444	1782460	1969866	1052740
SRZ187112	311082	64484	495948	762934	140552
SRZ187113	627828	141880	931566	1504974	301204
SRZ187114	646044	215246	778114	1062284	462106
SRZ187115	521952	309092	585322	846654	239558
SRZ187116	500512	176374	1026502	1589978	875052
SRZ187117	638882	224866	814590	910936	535906
SRZ187118	489200	113990	712738	1051402	236186
SRZ187119	477166	115688	717792	1031922	434742
SRZ187120	184792	52100	118366	249818	105888
SRZ187121	251096	122094	379560	653302	286378
SRZ187122	510958	153012	750668	928782	1506322
SRZ187123	934020	430440	1742120	2091256	660440
SRZ187124	984368	163768	1844358	2325244	297860
SRZ187125	510156	199294	980424	1507164	1098110
SRZ187126	303476	308832	341436	586092	198910
SRZ187127	201076	27380	266318	455760	90678
SRZ187128	55196	32496	140666	182134	457790
SRZ187129	182322	93288	364794	512854	917436
SRZ187130	575654	326510	942956	1072064	691190
SRZ187131	413204	144562	722794	949994	762042
SRZ187132	226618	135650	218402	361746	225244
SRZ187133	323946	142074	406282	742850	270986
SRZ187134	484174	193598	821854	925996	914138
SRZ187135	716092	367162	1070132	984918	773326
SRZ187136	663758	197670	861298	1176148	935560
SRZ187137	215466	105132	361144	516730	1075234
SRZ187138	705496	331252	1004790	1005798	575004
SRZ187139	383726	121530	681776	1005098	431330
SRZ187140	1615922	402038	3738728	4430972	1297096
SRZ187141	217180	101204	243838	313706	211482
SRZ187142	570452	140400	843280	1277416	331486
SRZ187143	390158	135152	799160	831212	365224
SRZ187144	443502	197548	451472	459386	440096
SRZ187145	1155134	216432	2494416	4764120	328248
SRZ187146	1305810	256708	975812	1294728	450158
SRZ187147	476454	249066	726826	852986	336674
SRZ187148	555640	130020	837856	1328612	241762
SRZ187149	293478	84952	302604	368762	167860
SRZ187150	702884	508128	808304	774512	604668
SRZ187151	1065328	286960	1646434	2117088	708752
SRZ187152	1189610	329190	1793214	2205504	807196
SRZ187153	1177846	566244	1372270	1363356	1229552
SRZ187154	532738	209448	769032	1269720	420674
SRZ187155	961204	251826	1451606	2365590	730972
SRZ187156	1508220	432668	1882074	2947508	839296
SRZ187157	749944	207330	1479036	2059454	430682
SRZ187158	494220	119264	988778	974056	389580
SRZ187159	498758	252936	823312	723332	556270
SRZ187160	284914	124606	426044	519920	94840
SRZ187161	936556	323574	1237934	2367954	459086
SRZ187162	581242	323648	1186108	1275024	443052
SRZ187163	337604	217174	644084	753594	166386
SRZ187164	661368	202618	737852	960728	381640
SRZ187165	776630	463268	1381450	1404258	791768
SRZ187166	1127486	111568	1741086	3470080	150068
SRZ187167	1007918	265194	1824892	2659066	3863840
SRZ187168	747092	418256	1425852	1553602	747372
SRZ187169	1084156	183348	2021854	4129788	166480
SRZ187170	535604	190958	927056	1069530	768270
SRZ187171	518838	423872	805918	895624	463630
SRZ187172	951428	477472	1438146	2328234	606188
SRZ187173	1044374	259462	1925928	2639238	847806
SRZ187174	1191540	490676	1467492	1668536	809002
SRZ187175	502084	80478	768184	1212814	102792
SRZ187176	490546	207114	938806	1292754	2723350
SRZ187177	632054	317582	999760	1129746	639986
SRZ187178	554082	105134	623802	1032038	164222
SRZ187179	616874	266738	1450440	2135368	1576488
SRZ187180	666876	437746	841528	855196	480218
SRZ187181	495298	126664	740994	1073016	366938
SRZ187182	683984	196544	1013994	1726578	1298140
SRZ187183	772886	486314	979296	1147962	616022
SRZ187184	847600	136158	1279668	3083906	132172
SRZ187185	474330	340124	727146	974582	694284
SRZ187186	516920	341586	1072468	1079632	548346
SRZ187187	476818	142622	817542	1409986	326204
SRZ187188	929182	374616	996486	1411362	1003434
SRZ187189	623542	310224	740692	848924	437628
SRZ187190	616746	138016	936704	1648470	258132
SRZ187191	509970	213232	1173044	1748178	1843560
SRZ187192	272914	144506	240900	268126	206058
SRZ187193	677948	100736	1255960	2519910	126046
SRZ187194	540176	196628	816560	1255514	373148
SRZ187195	2333028	1002218	3432180	4760656	1418778
SRZ187196	677184	118908	1517442	2673206	151456
SRZ187197	569044	215096	1407514	2380380	483654
SRZ187198	1245080	792410	2521228	3022598	1380440
SRZ187199	1387854	203068	2312476	4618704	312514
SRZ187200	1772602	448334	3286108	4075492	1930448
SRZ187201	1103474	784482	1625712	2293900	850752
