	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	538018	330194	662126	2076388	3067998
SRZ187076	1019314	566960	1128056	2468734	1146092
SRZ187077	1763118	344530	3711022	6728688	537280
SRZ187078	1924516	1019884	3699582	7961434	13005684
SRZ187079	196852	45556	246008	547896	57190
SRZ187080	108818	40620	100144	251950	79498
SRZ187081	148440	123684	171642	277424	118726
SRZ187082	535968	179216	1414992	2125510	433012
SRZ187083	518568	128444	605730	1427506	328878
SRZ187084	461834	190520	457632	816102	298306
SRZ187085	559422	153916	950714	2101488	214026
SRZ187086	337148	112166	473940	1038684	401428
SRZ187087	605978	289810	652006	922204	432916
SRZ187088	341730	95102	511218	961850	228590
SRZ187089	374186	112154	421076	967672	451570
SRZ187090	437862	103166	721752	1280150	405782
SRZ187091	339242	80862	499284	1065410	181122
SRZ187092	193936	73566	213096	500738	811946
SRZ187093	391766	438852	144616	253438	155784
SRZ187094	347962	109282	788800	1420762	222030
SRZ187095	107594	90622	302410	651710	1868076
SRZ187096	225088	138392	212386	339218	201290
SRZ187097	254016	83432	462474	880340	164184
SRZ187098	40370	26918	94034	259598	646412
SRZ187099	334730	189300	364074	475484	288244
SRZ187100	368346	142722	755034	1211044	367200
SRZ187101	530678	146394	742378	1624528	1001336
SRZ187102	545008	326184	878220	1177206	646696
SRZ187103	328260	125938	569278	1064088	318898
SRZ187104	550954	123300	562942	1268528	668026
SRZ187105	322648	211924	321752	455962	325792
SRZ187106	277312	99472	479268	786252	330366
SRZ187107	432976	102554	520858	1196202	401270
SRZ187108	714378	379590	960608	1273302	643740
SRZ187109	162806	46358	239052	437394	105100
SRZ187110	730742	195992	1067010	1611672	442382
SRZ187111	816550	432540	1080864	1420348	699334
SRZ187112	183084	43710	340006	588526	68030
SRZ187113	372308	91884	601742	1178638	156166
SRZ187114	397138	124690	376568	772104	266272
SRZ187115	302486	199868	377428	640744	119258
SRZ187116	259036	109304	643992	1237962	552200
SRZ187117	442698	129984	470980	641262	339026
SRZ187118	282622	76814	432320	797286	115180
SRZ187119	286722	73356	418432	741868	256934
SRZ187120	143724	33610	48450	191714	69292
SRZ187121	155700	81844	189464	496004	178432
SRZ187122	291954	104228	416042	605618	1116400
