	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	694957	258177.0	1004341.0	3640857.0	3430354.0
SRZ187076	1510406	412957.0	1896293.0	5255881.0	1234534.0
SRZ187077	2659740	328216.0	5548362.0	12046142.0	509234.0
SRZ187078	1903786	673121.0	4966016.0	12976610.0	17074195.0
SRZ187079	472607	50514.0	513829.0	1500582.0	65318.0
SRZ187080	238370	40048.0	284059.0	1003946.0	90024.0
SRZ187081	217876	95041.0	290680.0	740353.0	123609.0
SRZ187082	1187744	235452.0	3149515.0	5727950.0	525923.0
SRZ187083	873788	110364.0	1136020.0	2940532.0	373807.0
SRZ187084	695117	149669.0	588105.0	1651126.0	364945.0
SRZ187085	1158068	192244.0	1978652.0	5494347.0	271390.0
SRZ187086	495840	99402.0	702980.0	1957371.0	466109.0
SRZ187087	865486	224439.0	899944.0	1880903.0	491217.0
SRZ187088	662264	109843.0	941332.0	2402852.0	276835.0
SRZ187089	520348	97109.0	600100.0	1640078.0	533707.0
SRZ187090	600432	86028.0	856187.0	1988934.0	497213.0
SRZ187091	686855	74404.0	958337.0	2757554.0	190261.0
SRZ187092	273833	60202.0	345277.0	931380.0	934249.0
SRZ187093	530643	441353.0	190679.0	518602.0	211718.0
SRZ187094	552882	102614.0	1330248.0	3044899.0	198888.0
SRZ187095	128060	59372.0	360710.0	1093919.0	2068875.0
SRZ187096	342646	111826.0	265699.0	680064.0	265621.0
SRZ187097	407493	58653.0	792048.0	1893518.0	134073.0
SRZ187098	54231	19765.0	124749.0	445321.0	697099.0
SRZ187099	489572	130249.0	446123.0	944925.0	314023.0
SRZ187100	492828	111790.0	1109030.0	2546691.0	355610.0
SRZ187101	715767	111739.0	835574.0	2580087.0	1020843.0
SRZ187102	726463	240306.0	993704.0	2069713.0	785809.0
SRZ187103	561745	92603.0	956161.0	2257489.0	333405.0
SRZ187104	712671	100310.0	748532.0	2032503.0	715698.0
SRZ187105	426166	185019.0	432260.0	943755.0	431489.0
SRZ187106	366623	81983.0	707786.0	1554762.0	323112.0
SRZ187107	599578	88957.0	601537.0	1908257.0	458881.0
SRZ187108	909016	261188.0	1202942.0	2482234.0	784212.0
SRZ187109	314524	56655.0	469559.0	1061874.0	112315.0
SRZ187110	1004004	171130.0	1306037.0	2887387.0	474733.0
SRZ187111	986492	308231.0	1348399.0	2580583.0	846743.0
SRZ187112	472121	37467.0	612549.0	1464117.0	52934.0
SRZ187113	665664	90775.0	1148765.0	2781782.0	151595.0
SRZ187114	509093	93305.0	423299.0	1283360.0	296042.0
SRZ187115	604877	148674.0	813269.0	1657907.0	100935.0
SRZ187116	213717	72330.0	793272.0	2082820.0	551373.0
SRZ187117	691695	79787.0	694886.0	1420342.0	496012.0
SRZ187118	575788	63226.0	785542.0	1968318.0	94780.0
SRZ187119	391643	55566.0	535282.0	1190989.0	253673.0
SRZ187120	236566	50664.0	50502.0	328346.0	98420.0
SRZ187121	217591	88074.0	262385.0	979988.0	234643.0
SRZ187122	397885	75464.0	534686.0	1027113.0	1231419.0
SRZ187123	872421	257132.0	1329549.0	2610038.0	486490.0
SRZ187124	933543	93485.0	1844070.0	3546260.0	80168.0
SRZ187125	345815	100060.0	750477.0	1919606.0	717410.0
SRZ187126	225285	186012.0	336795.0	1176285.0	115340.0
