	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187075	7.697210867672217	2.859519092811512	11.123888902549053	40.32543606013101	37.993945076836205	9028686.0
SRZ187076	14.649811819918602	4.005374938737085	18.392627946015114	50.97812614481511	11.974059150514094	10310071.0
SRZ187077	12.610366905569558	1.55613863921978	26.305909805063546	57.11320295088673	2.4143816992603817	21091694.0
SRZ187078	5.064105374173054	1.7905140985219663	13.209692850892575	34.51801853756031	45.4176691388521	37593728.0
SRZ187079	18.157289125381794	1.9407188274391531	19.741014657010584	57.651497397083965	2.5094799930845033	2602850.0
SRZ187080	14.39043929567321	2.417704882800355	17.148692351762538	60.608398578403055	5.434764891360847	1656447.0
SRZ187081	14.846149285991228	6.4761280466407145	19.807040125814364	50.447920662814916	8.422761878738777	1467559.0
SRZ187082	10.970625637781964	2.1747579846053013	29.090570026519906	52.90634608293807	4.8577002681547565	10826584.0
SRZ187083	16.078502739252897	2.0307990912153824	20.903812688942942	54.10849292604247	6.878392554546306	5434511.0
SRZ187084	20.154382680934148	4.339537518824504	17.051652062272648	47.87312820494978	10.58129953301892	3448962.0
SRZ187085	12.733436756194624	2.113802311917676	21.756097314249253	60.4126182927839	2.98404532485455	9094701.0
SRZ187086	13.322936656400755	2.670874777185277	18.888669753784693	52.593437088729836	12.524081723899442	3721702.0
SRZ187087	19.841544763180284	5.145336221618165	20.631505489812103	43.120305897149215	11.261307628240237	4361989.0
SRZ187088	15.07500581590421	2.5003380280920693	21.427384509344826	54.695722362618326	6.301549284040567	4393126.0
SRZ187089	15.34342452044058	2.863438721308556	17.69505994971902	48.36073743078698	15.737339377744858	3391342.0
SRZ187090	14.903517032640536	2.1353288353785276	21.251694675875708	49.36797463459288	12.341484821512344	4028794.0
SRZ187091	14.715974230681635	1.5941171668833107	20.53251792053453	59.081019434543045	4.076371247357475	4667411.0
SRZ187092	10.759895808979461	2.3655558223157236	13.567190752162821	36.597312079140536	36.710045537401456	2544941.0
SRZ187093	28.03192824069794	23.315064223624468	10.072873937860376	27.395846264781472	11.184287333035744	1892995.0
SRZ187094	10.572305623582688	1.962202729078382	25.437233281531366	58.22508748872509	3.8031708770824766	5229531.0
SRZ187095	3.4508813948825847	1.5999198045991632	9.720189192160683	29.478250231208513	55.75075937714905	3710936.0
SRZ187096	20.56876464712436	6.712825118137462	15.949697933074647	40.82369664604864	15.945015655614892	1665856.0
SRZ187097	12.401693963542959	1.78505288690526	24.105289907891112	57.62756845015727	4.080394791503401	3285785.0
SRZ187098	4.043574056883381	1.47371874452435	9.301540078961201	33.20404275387443	51.97712436575664	1341165.0
SRZ187099	21.05783838561103	5.6023677659005235	19.188977380454663	40.64382345502501	13.506993013008776	2324892.0
SRZ187100	10.676634425553662	2.421820518380944	24.02604534842131	55.171558437929015	7.703941269715068	4615949.0
SRZ187101	13.597371585540301	2.1226973353014147	15.873336106884295	49.01371767910775	19.392877293166237	5264010.0
SRZ187102	15.08438027863401	4.98974770530285	20.63341012604872	42.97581289017119	16.31664899984323	4815995.0
SRZ187103	13.370414597219073	2.2040970599583045	22.758135794162094	53.73178911901572	7.935563429644811	4201403.0
SRZ187104	16.536387333359013	2.327532639056791	17.36848431241609	47.16097170253061	16.606624012637496	4309714.0
SRZ187105	17.619710512595873	7.649557260152091	17.871665187215058	39.01927862573485	17.839788414302127	2418689.0
SRZ187106	12.082757411512372	2.701905502022565	23.32643215855169	51.24013517601951	10.648769751893868	3034266.0
SRZ187107	16.39440994637989	2.4323733118962267	16.447975369202204	52.177944389302226	12.547296983219448	3657210.0
SRZ187108	16.11847098158874	4.631327940035378	21.330301908365	44.01442515699717	13.905474013013707	5639592.0
SRZ187109	15.609697026244623	2.811764396427265	23.30402044342053	52.70037078266359	5.57414735124399	2014927.0
SRZ187110	17.182166693392475	2.9286578402479013	22.351051830210064	49.41371223853133	8.124411397618227	5843291.0
SRZ187111	16.250728117595276	5.077565939120144	22.212512157257585	42.51058570965438	13.948608076372617	6070448.0
SRZ187112	17.888873395908135	1.4196411926698667	23.209752393539226	55.476040357867646	2.005692660015126	2639188.0
SRZ187113	13.757421855705216	1.8760665575299866	23.74177470626202	57.49169022901549	3.1330466514872852	4838581.0
SRZ187114	19.54217478875083	3.5816297192544315	16.248864246617885	49.26338691926871	11.363944326108143	2605099.0
SRZ187115	18.188168250411497	4.470508428096421	24.454349239339415	49.85193925299685	3.035034829155819	3325662.0
SRZ187116	5.755118066132545	1.94775188554662	21.361772898539172	56.08760655681199	14.847750592969675	3713512.0
SRZ187117	20.447881912850065	2.358662639140905	20.542214228659642	41.98813854641321	14.663102672936175	3382722.0
SRZ187118	16.509321165459646	1.812851848262471	22.523507205703318	56.43673368975248	2.7175860908220826	3487654.0
SRZ187119	16.13590078581779	2.2893488791188688	22.053904306815433	49.06938293548038	10.451463092767534	2427153.0
SRZ187120	30.943965844253352	6.627093857668692	6.605903481761888	42.94922942898477	12.873807387331295	764498.0
SRZ187121	12.205829309898967	4.940536192397855	14.718561537369839	54.972706838744564	13.162366121588775	1782681.0
SRZ187122	12.180524691518649	2.310192933437459	16.36843817989957	31.44319403214445	37.69765016299987	3266567.0
SRZ187123	15.703367574874497	4.62831398059266	23.93156131707835	46.980054467270136	8.756702660184354	5555630.0
SRZ187124	14.367668555693351	1.4387783904212157	28.381109979398314	54.57861961614313	1.2338234583439913	6497526.0
SRZ187125	9.02117928672645	2.6102372639412654	19.57748382101588	50.0762253976138	18.71487423070261	3833368.0
SRZ187126	11.04491456412826	9.119500401281158	16.511849437936732	57.66902957616179	5.654706020492059	2039717.0
SRZ187127	17.754188100332318	0.9435554847422649	24.73710565848773	55.15195141196644	1.4131993444712523	2108832.0
SRZ187128	3.4093751116510056	2.0247537723153144	18.99019853037503	29.269832195981756	46.305840389676895	671736.0
SRZ187129	6.252937090084384	2.9613530024722636	11.892022352532537	37.91342735426925	40.98026020064156	1566176.0
SRZ187130	13.260515481316059	5.146937424529647	20.99697399044707	50.05739344534671	10.538179658360512	3821865.0
SRZ187131	11.782550939105407	2.296684328563209	23.33721011279105	43.50009635004175	19.083458269498582	2926828.0
SRZ187132	14.813281793144787	6.357594167772358	14.97432571958121	47.738371455749714	16.116426863751933	1304613.0
SRZ187133	13.39896392776673	1.8563099950556712	23.419926412630772	55.15560613764464	6.169193526902189	2995351.0
SRZ187134	11.444135547957929	2.7653403116132558	22.18058553198633	43.64528596932054	19.964652639121944	2573318.0
SRZ187135	14.697389513316734	5.396308982198753	21.91968805153784	40.47573043108134	17.510883021865332	3545201.0
SRZ187136	18.035577250647496	2.137741117661707	21.758828531386637	45.09756881944745	12.970284280856706	4822801.0
SRZ187137	7.352130527878922	2.729902067662829	13.522976680200376	30.654573291755437	45.74041743250243	1866697.0
SRZ187138	18.85716955393735	7.319964419105561	19.52151186913528	38.197921877021955	16.10343228079985	2696953.0
