	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187075	15.043024624362268	6.005742116693411	21.664915858059775	24.833810685139515	32.45250671574503	36847736
SRZ187076	23.270569519494934	13.070923848770992	21.305810272365047	27.700370331776913	14.652326027592116	38693952
SRZ187077	18.837952608711237	3.7344191813278527	32.050969958856896	38.52973309207326	6.846925159030752	58164065
SRZ187078	12.727514795846247	6.4626652414646895	19.98077164474914	26.420171792732894	34.40887652520703	88953006
SRZ187079	21.73230815544546	5.358650181287018	27.609546484235167	34.69329324207998	10.606201936952374	9573493
SRZ187080	17.50341883480559	8.58595029392418	24.740788776508133	35.43610218478817	13.733739909973927	5909177
SRZ187081	13.878744209307223	13.134149653515573	26.006237557189074	29.725695840272593	17.255172739715537	6686592
SRZ187082	16.79536652004039	4.856767955727235	32.52185949370346	34.858215539382684	10.967790491146237	33656086
SRZ187083	19.431131337947967	5.683463661639036	27.469287305289733	35.053718882998766	12.362398812124496	17978315
SRZ187084	18.090869647439202	9.378282942958934	26.72697425635116	31.3733524804739	14.430520672776801	12648712
SRZ187085	18.56493331903512	4.5186785963505365	29.598453306228894	38.8732618733458	8.444672905039655	25737480
SRZ187086	17.075936365820294	8.245769685008222	24.521028222239163	34.045017988638605	16.112247738293718	11122576
SRZ187087	17.551011523186027	10.541291134205053	27.397104646372238	29.01133973586278	15.499252960373903	17410723
SRZ187088	21.296769377374712	5.29175731448505	28.180936288117508	33.57472742670643	11.6558095933163	15162619
SRZ187089	20.26906513920231	6.700709850447012	24.548796056858574	31.221204449814934	17.26022450367717	11624843
SRZ187090	15.606908660037007	6.189906624707464	27.22352251700125	29.019818886166153	21.959843312088125	16264688
SRZ187091	21.043350197436308	4.286153048638342	28.220432250168322	36.03584426747829	10.41422023627874	14267386
SRZ187092	17.93227848377511	6.527198080494938	24.898753408911002	24.704993546231638	25.936776480587312	12601165
SRZ187093	30.11157557892309	34.17442287872345	13.26911184945477	13.545142667694902	8.899747025203785	13874900
SRZ187094	15.98727722405541	4.438909819198237	30.01542820653549	38.900530187750164	10.657854562460699	19883711
SRZ187095	10.834037893374878	6.131579845257391	20.548120846353253	22.47032049220605	40.015940922808426	14888724
SRZ187096	16.587236974902655	11.8621026433798	27.688735525747628	26.006768118073357	17.85515673789656	8527038
SRZ187097	19.100115075129303	5.385980145121965	30.063395490761877	33.02997456392791	12.42053472505895	13919602
SRZ187098	12.325880156274172	6.166154941117079	17.966118527223525	22.042373803895906	41.49947257148932	6283316
SRZ187099	16.33022289900732	16.19715810327624	26.738306293487675	24.625174969276316	16.109137734952448	12762955
SRZ187100	17.99091248499821	5.375206715931104	30.680356128217813	31.558910837781315	14.39461383307156	21349951
SRZ187101	15.28666308382365	6.800141516100478	26.179511592790675	29.290094988730782	22.443588818554417	21509920
SRZ187102	13.579361963021949	9.963530680255529	30.695285796113644	28.34609140946226	17.41573015114662	21150655
SRZ187103	19.654506303158314	6.230172482053043	29.146865285480267	31.356765239102515	13.611690690205862	19448980
SRZ187104	17.95310267579235	7.349605913073444	24.738449204247416	30.512482909081886	19.446359297804904	14184434
SRZ187105	16.811367611074925	11.89086425857927	27.48901953939091	25.94819265216897	17.860555938785925	11073989
SRZ187106	19.03861871809393	6.305223087490317	29.614075778582492	29.45979348912224	15.582288926711021	15743868
SRZ187107	15.918676524153952	6.898221036059169	26.60841681915103	32.39638383709698	18.17830178353887	12590362
SRZ187108	15.93778788999871	9.680545439022767	29.474333588673705	28.723675226801756	16.183657855503064	21259205
SRZ187109	23.51358301738517	5.7394384239897445	29.262742923311873	29.782281904778323	11.701953730534887	10440795
SRZ187110	19.822335411827986	6.912627094519043	28.95445896638231	30.247905309878643	14.06267321739202	23381024
SRZ187111	19.536787747017005	12.791060222240564	27.4247941753098	25.88309370519624	14.364264150236389	26206647
SRZ187112	21.805257485085487	4.93890555811807	30.141596895853922	33.487368180230995	9.626871880711528	10564709
SRZ187113	21.576146623940968	5.2756000669421335	29.44983015068202	33.61383015194747	10.084593006487419	18965634
SRZ187114	18.216065920807925	10.939850164493212	28.478143619958118	27.789156918378463	14.57678337636228	15025544
SRZ187115	23.000469227971962	11.457061579687014	27.10133437850742	28.044414484184582	10.396720329649025	15267632
SRZ187116	15.026870081114016	10.92435772774679	27.598978591325125	29.638726327563468	16.8110672722506	19155506
SRZ187117	17.20079890385385	9.057839700358906	30.163965629404043	27.036051057882723	16.54134470850048	15341020
SRZ187118	22.722170722121596	4.752906759423807	30.541212065548	31.73733676010731	10.246373692799288	14981632
SRZ187119	18.714919716919376	5.558452756634941	31.218986355925804	29.97436223453078	14.5332789359891	13865873
SRZ187120	15.164948762813808	21.5463412335036	24.525023470038747	24.768191788835274	13.995494744808571	4434377
SRZ187121	14.140105824391913	9.532020826761592	29.823772031797947	30.452975240649565	16.051126076398987	9085618
SRZ187122	19.052282252719053	5.340129733029174	27.08025359606415	24.445580587067152	24.081753831120473	19488946
