filename,f1_score,accuracy
643_129_129_83_17,0.9566530358552665,0.9406175771971497
600_150_150_80_20,0.9604261908295131,0.9448529411764706
540_180_180_75_25,0.9438686404676917,0.9282970550576184
450_225_225_67_33,0.9360854077897395,0.9191780821917809
500_100_100_250_50,0.9176158935612734,0.8888888888888888
467_117_117_240_60,0.9319663390848122,0.9064171122994652
420_140_140_225_75,0.9078373398248097,0.8751753155680224
350_175_175_200_100,0.9268142450572981,0.898355754857997
357_71_71_417_83,0.887886448724666,0.8385093167701864
333_83_83_400_100,0.8819183996233674,0.8335949764521193
300_100_100_375_125,0.8863325265822856,0.8341543513957307
250_125_125_333_167,0.8766304324467512,0.8318739054290718
214_43_43_583_117,0.8560216789425447,0.7900552486187845
200_50_50_560_140,0.8256459616985625,0.7589453860640302
180_60_60_525_175,0.8526494710513862,0.787819253438114
150_75_75_467_233,0.8300546901915922,0.7638297872340426
71_14_14_750_150,0.7833831225755791,0.683046683046683
67_17_17_720_180,0.7640181321746482,0.6617283950617284
60_20_20_675_225,0.7620016481012427,0.6542553191489362
50_25_25_600_300,0.8048462033244517,0.7123287671232876
