Prok->ProkVir,Euk->ProkVir,EukVir->ProkVir,Plas->ProkVir,ProkVir->NonProkVir
24,5,16,7,1
17,4,19,9,1
13,11,21,13,1
16,13,35,12,1
20,26,48,6,1
20,30,51,2,2
13,27,75,13,0
10,15,97,8,1
17,37,78,5,1
12,41,101,6,1
8,45,126,7,1
8,43,162,6,1
6,60,109,3,0
7,57,132,2,0
10,63,171,2,1
3,45,230,4,0
1,90,143,0,0
1,86,174,2,0
2,74,220,1,0
0,49,293,3,0
