Prok->ProkVir,Euk->ProkVir,EukVir->ProkVir,Plas->ProkVir,ProkVir->NonProkVir
0,0,0,8,31
4,0,0,7,34
5,0,0,8,40
6,0,0,14,54
5,0,0,4,16
2,0,0,1,28
5,0,0,13,37
3,0,1,6,40
7,0,0,1,12
3,0,0,5,22
3,0,1,9,31
0,0,2,9,35
3,0,0,3,11
2,0,0,4,15
1,0,1,3,16
1,0,1,3,20
0,0,1,0,4
0,0,1,1,5
0,0,0,0,3
1,0,1,2,6
