Prok->Euk,ProkVir->Euk,Euk->Non-Euk,EukVir->Euk,Plas->Euk
6,0,0,0,0
3,0,0,0,0
3,0,2,0,1
2,1,0,0,0
4,0,2,1,0
1,1,2,1,0
3,0,1,4,0
2,0,0,4,1
2,0,2,1,1
1,0,2,0,1
2,1,2,3,0
1,0,1,4,2
3,0,5,2,1
1,0,4,4,1
2,0,7,4,0
1,0,3,6,2
0,0,3,4,1
2,0,6,1,0
0,0,4,13,0
0,0,7,13,0
