Prok->Plas,ProkVir->Plas,Euk->Plas,EukVir->Plas,Plas->NonPlas
209,1,4,0,11
184,1,3,0,10
157,0,0,0,17
150,1,2,0,15
156,1,3,0,9
131,2,9,1,4
145,0,7,1,17
113,0,8,3,11
101,1,12,0,9
102,1,12,2,10
92,1,8,0,10
92,1,13,0,12
64,0,17,3,4
49,0,21,2,2
48,0,14,0,2
46,0,12,3,5
22,0,19,1,0
20,0,17,1,3
13,0,22,0,1
25,0,20,8,3
