Prok->ProkVir,Euk->ProkVir,EukVir->ProkVir,Plas->ProkVir,ProkVir->NonProkVir
63,41,14,42,14
52,29,17,43,9
46,26,24,54,4
45,23,31,59,11
45,92,41,32,7
46,81,55,29,3
35,85,60,41,8
30,73,89,41,10
36,167,75,21,9
26,158,83,20,10
30,134,107,19,3
21,124,143,33,2
20,190,106,9,3
28,221,124,12,1
23,185,152,13,6
11,174,206,18,2
7,306,132,5,0
6,260,161,4,0
4,258,201,7,0
3,234,244,7,1
