Prok->ProkVir,Euk->ProkVir,EukVir->ProkVir,Plas->ProkVir,ProkVir->NonProkVir
6,0,0,17,3
5,0,0,16,3
7,0,0,30,7
4,0,0,26,5
7,0,4,9,1
7,1,2,19,1
4,0,2,20,3
5,0,4,25,4
6,2,3,6,1
3,0,2,12,2
2,1,6,15,0
5,2,5,16,2
5,1,5,3,0
0,0,2,5,0
2,2,5,7,0
0,4,6,8,0
0,1,6,1,0
1,1,2,3,0
2,1,7,2,1
1,0,5,5,0
