Prok->Plas,ProkVir->Plas,Euk->Plas,EukVir->Plas,Plas->Non-Plas
82,2,0,0,31
72,5,0,0,34
75,3,2,0,40
50,3,0,0,54
62,4,1,0,16
69,5,1,0,28
53,2,1,0,37
52,1,0,0,40
44,0,0,0,12
43,1,0,0,22
46,1,1,0,31
34,1,0,0,35
24,3,1,0,11
20,2,1,1,15
29,2,1,1,16
14,1,0,0,20
5,0,0,0,4
8,0,2,2,5
17,0,1,0,3
9,0,2,0,6
