filename,f1_score,accuracy
643_129_129_83_17,0.7919742130192584,0.7669256381798002
600_150_150_80_20,0.8175943384183794,0.8022222222222222
540_180_180_75_25,0.8061700410834378,0.7966666666666666
450_225_225_67_33,0.8326504602072557,0.83
500_100_100_250_50,0.7822019833574455,0.7585714285714286
467_117_117_240_60,0.8059129547658926,0.7931526390870185
420_140_140_225_75,0.826820745240139,0.8185714285714286
350_175_175_200_100,0.8193167706580607,0.8171428571428572
357_71_71_417_83,0.7770191957337417,0.7535070140280561
333_83_83_400_100,0.7953050987729047,0.779559118236473
300_100_100_375_125,0.8239343729045302,0.814
250_125_125_333_167,0.804547643367868,0.802
214_43_43_583_117,0.8227485187623436,0.8066666666666666
200_50_50_560_140,0.8158149966660606,0.8
180_60_60_525_175,0.7950851617518284,0.7833333333333333
150_75_75_467_233,0.8386598757581687,0.8366666666666667
71_14_14_750_150,0.8160483788390764,0.797979797979798
67_17_17_720_180,0.7952137318995057,0.7821782178217822
60_20_20_675_225,0.7403740374037403,0.73
50_25_25_600_300,0.7918479231401122,0.79
