filename,f1_score,accuracy
643_129_129_83_17,0.9367422803394476,0.8907363420427553
600_150_150_80_20,0.9395541549953313,0.8958333333333334
540_180_180_75_25,0.9307953989575857,0.8847631241997439
450_225_225_67_33,0.9430621979947761,0.9095890410958904
500_100_100_250_50,0.9396480822607886,0.8993464052287582
467_117_117_240_60,0.9416963693638167,0.8955823293172691
420_140_140_225_75,0.9448201127948076,0.908835904628331
350_175_175_200_100,0.9444340227509496,0.9088191330343797
357_71_71_417_83,0.9456705048150049,0.9145962732919255
333_83_83_400_100,0.9516265912527522,0.9199372056514914
300_100_100_375_125,0.9444389168821195,0.909688013136289
250_125_125_333_167,0.9635458620785314,0.9352014010507881
214_43_43_583_117,0.9538033558540693,0.9300184162062615
200_50_50_560_140,0.9695301076582293,0.9491525423728814
180_60_60_525_175,0.9497538377329011,0.9214145383104125
150_75_75_467_233,0.97447423727939,0.9595744680851064
71_14_14_750_150,0.9862929320873244,0.9803439803439803
67_17_17_720_180,0.9743627195270388,0.9629629629629629
60_20_20_675_225,0.9627699931948026,0.9441489361702128
50_25_25_600_300,0.9780139918431983,0.9643835616438357
