Prok->Euk,ProkVir->Euk,Euk->Non-Euk,EukVir->Euk,Plas->Euk
1,0,9,0,3
9,0,6,0,2
8,0,3,0,3
7,0,4,0,2
9,0,19,0,1
6,0,21,0,1
4,0,15,0,1
4,0,28,0,2
1,0,30,0,0
3,0,35,0,2
3,0,26,0,1
3,0,21,0,2
3,0,52,0,0
0,0,47,0,0
1,0,51,0,1
2,0,51,0,0
3,0,62,0,0
1,0,67,0,0
3,0,37,0,0
1,0,49,0,0
