	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187435	1078672	250102.0	877136.0	1642138.0	1899636.0
SRZ187436	477668	76608.0	250540.0	410976.0	613298.0
SRZ187437	156210	74198.0	168522.0	314488.0	1084208.0
SRZ187438	282328	134530.0	521900.0	1972342.0	1500956.0
SRZ187439	124380	107672.0	323718.0	482734.0	961476.0
SRZ187440	191878	148124.0	178452.0	230794.0	369706.0
SRZ187441	92524	84948.0	454222.0	2569716.0	437188.0
SRZ187442	75366	62984.0	159456.0	240066.0	933342.0
SRZ187443	160492	95976.0	303268.0	570720.0	759730.0
SRZ187444	121900	59466.0	232856.0	458076.0	509136.0
SRZ187445	90162	36920.0	229590.0	391956.0	397528.0
SRZ187446	138606	47360.0	278598.0	454760.0	450348.0
SRZ187447	160816	70974.0	354074.0	642936.0	637282.0
SRZ187448	175714	73588.0	182600.0	259458.0	461094.0
SRZ187449	59594	85086.0	436572.0	909362.0	171830.0
SRZ187450	360110	237230.0	1470942.0	4809390.0	265134.0
SRZ187451	99214	35718.0	229302.0	323178.0	284524.0
SRZ187452	90502	18356.0	113202.0	193538.0	166208.0
SRZ187453	247168	91562.0	283216.0	466078.0	879978.0
SRZ187454	268098	82290.0	315256.0	515374.0	944530.0
SRZ187455	269094	96470.0	296474.0	454482.0	627632.0
SRZ187456	210028	72484.0	236450.0	415542.0	739144.0
SRZ187457	209940	67494.0	241456.0	370432.0	756278.0
SRZ187458	122354	51314.0	187242.0	282756.0	517778.0
SRZ187459	228942	92954.0	371146.0	604726.0	883608.0
SRZ187460	192498	74066.0	335926.0	380404.0	733524.0
SRZ187461	192758	93010.0	307564.0	408920.0	833540.0
SRZ187462	85748	39244.0	142824.0	266576.0	350752.0
SRZ187463	90904	28400.0	141040.0	241814.0	404140.0
SRZ187464	64420	44848.0	117410.0	251914.0	400342.0
SRZ187465	65330	38632.0	95438.0	169140.0	379920.0
SRZ187466	84004	33020.0	90156.0	379982.0	713630.0
SRZ187467	148816	62636.0	160260.0	357850.0	613984.0
SRZ187468	32110	24978.0	64726.0	185334.0	271396.0
SRZ187469	127834	41986.0	179602.0	296774.0	443282.0
SRZ187470	113962	83038.0	159464.0	298442.0	398182.0
SRZ187471	86286	41232.0	125014.0	239462.0	430068.0
SRZ187472	197634	58670.0	255898.0	361160.0	669818.0
SRZ187473	103096	46212.0	288126.0	510550.0	518302.0
SRZ187474	120788	50946.0	359586.0	405142.0	648992.0
SRZ187475	109752	37736.0	284760.0	488464.0	570654.0
SRZ187476	148056	65634.0	354096.0	674662.0	787738.0
SRZ187477	208536	119628.0	362234.0	549750.0	665330.0
SRZ187478	472580	401310.0	1662160.0	3807330.0	350786.0
SRZ187479	267650	91182.0	331838.0	536204.0	978630.0
SRZ187480	263734	60460.0	122368.0	530832.0	523350.0
SRZ187481	230436	81424.0	336520.0	559218.0	965346.0
SRZ187482	260406	87830.0	341420.0	539034.0	846120.0
SRZ187483	146100	64818.0	331328.0	578248.0	807470.0
SRZ187484	488036	188772.0	1186548.0	3866582.0	193958.0
SRZ187485	320562	88176.0	814170.0	1928582.0	230118.0
SRZ187486	234126	62790.0	357594.0	1196284.0	195028.0
SRZ187487	294778	121794.0	393530.0	1834950.0	249944.0
SRZ187488	172522	108540.0	249366.0	1546562.0	112618.0
SRZ187489	253522	71632.0	687254.0	980724.0	326008.0
SRZ187490	329950	86044.0	889930.0	1210782.0	384288.0
SRZ187491	140154	59372.0	328734.0	524726.0	445750.0
SRZ187492	163770	68014.0	385218.0	759834.0	638944.0
SRZ187493	151644	79544.0	385202.0	652794.0	580516.0
SRZ187494	128046	48926.0	331218.0	576916.0	494132.0
SRZ187495	160208	66088.0	364198.0	722640.0	636742.0
SRZ187496	244778	82530.0	349306.0	567764.0	732758.0
SRZ187497	391164	155506.0	428388.0	772380.0	909586.0
SRZ187498	242570	54838.0	301230.0	539310.0	681080.0
SRZ187499	117676	30026.0	139962.0	443004.0	298718.0
SRZ187500	148618	56634.0	166896.0	721242.0	563438.0
SRZ187501	86298	38240.0	121942.0	205264.0	409810.0
SRZ187502	102664	43938.0	137806.0	193088.0	453570.0
SRZ187503	57282	25588.0	109768.0	158124.0	352728.0
SRZ187504	77920	40386.0	107274.0	143432.0	420634.0
SRZ187505	79784	38958.0	94388.0	291022.0	705414.0
SRZ187506	124506	32078.0	215006.0	327024.0	358484.0
SRZ187507	72492	29420.0	180952.0	306868.0	373264.0
SRZ187508	268922	118994.0	671148.0	1322866.0	1054456.0
SRZ187509	157970	117124.0	481890.0	829706.0	1330016.0
SRZ187510	109534	70122.0	263758.0	644736.0	2027350.0
SRZ187511	42974	40436.0	320406.0	1493128.0	87504.0
SRZ187512	108316	45786.0	195540.0	455958.0	601494.0
SRZ187513	383944	228040.0	1050238.0	1624818.0	2805150.0
SRZ187514	60342	17354.0	203050.0	354740.0	461282.0
SRZ187515	54364	27348.0	185918.0	393570.0	461918.0
SRZ187516	98972	63046.0	123472.0	239350.0	866474.0
SRZ187517	149362	69872.0	384230.0	624592.0	488804.0
SRZ187518	74682	24838.0	159308.0	288310.0	166222.0
SRZ187519	58804	17560.0	115250.0	174432.0	139930.0
SRZ187520	333502	227328.0	563580.0	1028532.0	1240116.0
SRZ187521	105636	87108.0	559800.0	1824392.0	227018.0
SRZ187522	506320	265788.0	1850792.0	6318398.0	286024.0
SRZ187523	90348	46472.0	167294.0	305714.0	411898.0
SRZ187524	173222	121756.0	359904.0	700562.0	798154.0
SRZ187525	162238	68004.0	258512.0	511396.0	502910.0
SRZ187526	90880	47358.0	238400.0	357692.0	448622.0
SRZ187527	50280	25940.0	129844.0	157654.0	280786.0
SRZ187528	67398	23322.0	218386.0	270044.0	235074.0
SRZ187529	102584	29732.0	248560.0	372218.0	269786.0
SRZ187530	101270	15458.0	225714.0	237282.0	186286.0
SRZ187531	83052	38750.0	269582.0	354826.0	305672.0
SRZ187532	324198	218466.0	1107762.0	1844764.0	1329420.0
SRZ187533	88734	38784.0	243524.0	295342.0	301478.0
SRZ187534	108474	29162.0	247582.0	272970.0	260046.0
SRZ187535	88082	21082.0	230706.0	263808.0	304534.0
SRZ187536	77356	26736.0	153958.0	271144.0	215040.0
SRZ187537	136820	66128.0	327156.0	474838.0	567094.0
SRZ187538	167902	102504.0	595150.0	758638.0	985902.0
SRZ187539	138996	65672.0	330726.0	544392.0	588086.0
SRZ187540	177172	70400.0	389028.0	549780.0	707894.0
SRZ187541	231746	95144.0	471532.0	968950.0	637152.0
SRZ187542	147038	55458.0	365340.0	596094.0	471792.0
SRZ187543	143996	19856.0	201690.0	155556.0	101726.0
SRZ187544	239384	86188.0	254268.0	593566.0	456056.0
SRZ187545	137772	50176.0	359226.0	603210.0	363266.0
SRZ187546	118684	83066.0	106058.0	218970.0	658184.0
SRZ187547	103902	113574.0	813164.0	2177298.0	148058.0
SRZ187548	278670	177776.0	1103660.0	4542968.0	212316.0
SRZ187549	77812	15376.0	139724.0	164780.0	158382.0
SRZ187550	100318	52134.0	239928.0	258334.0	949734.0
SRZ187551	56462	70268.0	124378.0	162640.0	1541344.0
SRZ187552	89558	26502.0	196268.0	232068.0	256246.0
SRZ187553	73306	25580.0	164220.0	248002.0	424438.0
SRZ187554	81068	14956.0	166772.0	171134.0	237720.0
SRZ187555	72538	26756.0	180306.0	182740.0	304290.0
SRZ187556	59034	32906.0	180006.0	175416.0	465380.0
SRZ187557	66558	18316.0	170960.0	197804.0	180704.0
SRZ187558	110726	44364.0	288300.0	428126.0	372878.0
SRZ187559	126494	40676.0	255616.0	323342.0	334164.0
SRZ187560	103744	45734.0	320806.0	424722.0	628136.0
SRZ187561	94838	30816.0	333398.0	457296.0	474502.0
SRZ187562	70308	28482.0	180184.0	236354.0	291330.0
SRZ187563	78422	36940.0	220984.0	278004.0	315942.0
SRZ187564	146192	79488.0	442004.0	585708.0	815496.0
SRZ187565	72608	21858.0	136456.0	183602.0	187968.0
SRZ187566	89134	33870.0	207542.0	250324.0	325456.0
SRZ187567	105414	39672.0	263202.0	340288.0	327502.0
SRZ187568	83022	33422.0	184482.0	283068.0	313274.0
SRZ187569	110500	48570.0	167972.0	246452.0	374918.0
SRZ187570	69332	32562.0	152136.0	267644.0	338172.0
SRZ187571	146298	71550.0	296920.0	527014.0	622860.0
SRZ187572	78608	6466.0	148098.0	118174.0	71406.0
SRZ187573	63090	25390.0	147806.0	185094.0	258774.0
SRZ187574	136354	47828.0	257330.0	469506.0	633342.0
SRZ187575	99270	31596.0	187758.0	295826.0	468814.0
