	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	1464448	804666	1727168	3162340	5124282
SRZ187076	2793016	2043392	2515572	3518486	2322118
SRZ187077	3374340	763534	6478874	8946072	1515490
SRZ187078	4404974	2323536	6565648	10423464	16610014
SRZ187079	399946	131156	554312	816744	258258
SRZ187080	266222	175484	314472	441468	241996
SRZ187081	369202	352966	603624	605120	459854
SRZ187082	1141566	418446	2587098	2973930	1065192
SRZ187083	996980	344116	1301120	1993986	775446
SRZ187084	907532	464316	1269430	1400930	727556
SRZ187085	1020682	312148	1738486	2709578	593576
SRZ187086	629388	281874	888548	1386556	736622
SRZ187087	1182184	666336	1684738	1716892	1068740
SRZ187088	704082	228048	1052532	1390604	561924
SRZ187089	725172	276450	954748	1378932	861534
SRZ187090	883428	321486	1739504	1902306	938550
SRZ187091	655596	193092	1034714	1464106	488420
SRZ187092	533370	265244	716998	897360	1404456
SRZ187093	1054936	1507488	536928	549596	438942
SRZ187094	782326	283876	1736930	2067280	704320
SRZ187095	419162	291876	883816	1127972	2882628
SRZ187096	525730	387480	834940	744956	600326
SRZ187097	619624	245432	1124392	1373672	576276
SRZ187098	194824	123668	325442	456376	1147682
SRZ187099	735462	516726	1246622	1073666	842990
SRZ187100	933670	386738	1847568	2009662	1089380
SRZ187101	1210544	543596	2035640	2554310	2116750
SRZ187102	1190268	807252	2575750	2336044	1581756
SRZ187103	866674	360980	1429110	1720880	852096
SRZ187104	1008726	369992	1220438	1768562	1242752
SRZ187105	729204	511752	1115052	966472	816332
SRZ187106	712628	276948	1231980	1353044	845140
SRZ187107	793660	335924	1306932	1754762	932890
SRZ187108	1514842	913374	2598874	2301590	1554222
SRZ187109	430718	146984	634112	751370	347834
SRZ187110	1457914	534024	2310600	2490132	1169534
SRZ187111	2019940	1209090	2883736	2612130	1646316
SRZ187112	445322	137054	744568	912724	281576
SRZ187113	885812	271852	1381492	1775702	540866
SRZ187114	965894	467644	1446202	1454324	843390
SRZ187115	785458	631092	943564	1030954	504788
SRZ187116	788226	347634	1520952	1908072	1278656
SRZ187117	911484	484174	1463122	1323570	933030
SRZ187118	706210	217530	1118586	1287010	461052
SRZ187119	681266	247952	1123534	1295562	737362
SRZ187120	259070	127954	310688	363022	223170
SRZ187121	415750	289716	794524	904624	554800
SRZ187122	798954	325470	1301898	1280802	2008428
SRZ187123	1256856	675572	2541894	2542820	1082144
SRZ187124	1372986	335086	2720020	2820540	629844
SRZ187125	785862	398274	1503732	1822978	1588856
SRZ187126	442250	488606	585642	742612	375516
SRZ187127	276842	74242	400474	543354	194408
SRZ187128	123992	94640	293498	281232	656158
SRZ187129	336832	228686	717482	731276	1288656
SRZ187130	866954	599388	1664742	1531872	1202396
SRZ187131	640914	311968	1093658	1181428	1087904
SRZ187132	337646	254584	425442	496740	389240
SRZ187133	453318	290294	588784	866234	418048
SRZ187134	753598	404416	1400800	1245434	1432450
SRZ187135	1086140	681152	1925252	1493968	1277728
SRZ187136	879812	340398	1295488	1452582	1323138
SRZ187137	334268	197052	598708	668724	1349082
SRZ187138	947828	553374	1617912	1340996	901746
SRZ187139	575400	251674	1094656	1269588	730312
SRZ187140	2116702	714278	4724880	5015848	1923384
SRZ187141	340182	230256	551184	493560	414256
SRZ187142	823986	259794	1260826	1540634	601340
SRZ187143	562798	272954	1198380	1104072	644416
SRZ187144	640344	380692	866500	713934	730662
SRZ187145	1505882	362022	3215468	5243106	618288
SRZ187146	1794732	473130	1508332	1628200	744884
SRZ187147	706340	431564	1236628	1175998	580900
SRZ187148	731508	216366	1167660	1539932	398428
SRZ187149	486846	192720	541030	512098	318124
