	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	242464	133436.0	380438.0	1682434.0	2184776.0
SRZ187076	522042	180660.0	675486.0	1968278.0	725264.0
SRZ187077	965066	130676.0	2351376.0	5705676.0	270848.0
SRZ187078	1035154	370528.0	2540878.0	6969070.0	10819376.0
SRZ187079	110786	13960.0	142350.0	442346.0	18728.0
SRZ187080	65580	12606.0	53770.0	200174.0	41532.0
SRZ187081	98194	37218.0	80852.0	203652.0	64552.0
SRZ187082	299346	73002.0	949656.0	1776702.0	251834.0
SRZ187083	331418	44204.0	363124.0	1185342.0	193648.0
SRZ187084	311352	61266.0	237870.0	643148.0	194292.0
SRZ187085	338874	57594.0	637196.0	1814624.0	119614.0
SRZ187086	218232	43956.0	315104.0	914316.0	289600.0
SRZ187087	423812	109780.0	354712.0	698730.0	268646.0
SRZ187088	194130	39880.0	311328.0	777884.0	124294.0
SRZ187089	275196	50232.0	265832.0	817892.0	317900.0
SRZ187090	316522	36138.0	427154.0	1078956.0	271560.0
SRZ187091	187724	25436.0	298966.0	875742.0	94092.0
SRZ187092	102888	30886.0	97954.0	398496.0	609560.0
SRZ187093	296102	201352.0	71900.0	187206.0	98376.0
SRZ187094	172738	36844.0	463126.0	1117914.0	108706.0
SRZ187095	44516	29132.0	166250.0	532564.0	1339606.0
SRZ187096	149742	40182.0	76694.0	252466.0	121546.0
SRZ187097	116182	21264.0	259432.0	691408.0	65860.0
SRZ187098	16914	10034.0	51988.0	219614.0	429834.0
SRZ187099	226924	53782.0	144224.0	345732.0	167772.0
SRZ187100	161564	45628.0	412846.0	921654.0	184920.0
SRZ187101	417860	54262.0	452064.0	1406242.0	641292.0
SRZ187102	376268	122082.0	398006.0	834848.0	428358.0
SRZ187103	160670	40114.0	312246.0	799144.0	166946.0
SRZ187104	429484	43104.0	366880.0	1113026.0	468214.0
SRZ187105	207206	77382.0	156956.0	332362.0	215256.0
SRZ187106	106342	28496.0	240226.0	571938.0	169950.0
SRZ187107	348906	36482.0	320936.0	1053602.0	262238.0
SRZ187108	478800	135158.0	506460.0	974570.0	445300.0
SRZ187109	71308	17226.0	127536.0	327612.0	41158.0
SRZ187110	490422	81246.0	592482.0	1278454.0	261290.0
SRZ187111	519084	159312.0	585158.0	1089106.0	478340.0
SRZ187112	85008	10084.0	192704.0	463466.0	18978.0
SRZ187113	188548	26486.0	375652.0	944714.0	69050.0
SRZ187114	253688	38066.0	176902.0	635738.0	167096.0
SRZ187115	167474	64070.0	224058.0	500158.0	48056.0
SRZ187116	76716	30832.0	308636.0	977638.0	305878.0
SRZ187117	313234	27046.0	252228.0	520542.0	244044.0
SRZ187118	153584	23134.0	244578.0	647014.0	39220.0
