	Eukaryote	EukaryoticVirus	Prokaryote	ProkaryoticVirus	Unclassified	UnclassifiedVirus	TotalCnt
ESPAEMG01_S37_L003	32.12396553815785	0.41324781728026616	54.16441651867472	0.973047641299401	12.06542508026304	0.25989740432472885	38832631
ESPAEMG02_S38_L003	30.153528736874083	0.39064840712135224	56.412395896692225	0.9602739903509013	11.843030246382167	0.24012272257927492	34578152
ESPAEMG03_S39_L003	35.124118655909065	0.42775008655939506	49.9761485235791	0.852141873910662	13.389628623319874	0.23021223672190916	42372639
ESPAEMG04_S40_L003	34.62391968929881	0.3502708976315865	51.88333018758694	1.5569062527555908	11.349599795993377	0.2359731767336949	36732141
ESPAEMG05_S41_L003	30.196416752314473	0.27881170152976076	58.403773530191465	1.4236232169077052	9.434672294645093	0.2627025044115051	40622757
ESPAEMG06_S42_L003	29.747685609177402	0.28368917150256795	58.77414413919027	1.5618301440018214	9.3554110424616	0.27723989366633667	54393687
ESPAEMG07_S43_L003	25.08977043121374	0.28315453615703046	58.259988607888936	0.5740782188495793	15.655455281876424	0.13755292401429217	37919223
ESPAEMG09_S44_L003	22.09220456967048	0.2754035338866811	60.46812111028743	0.6389921796095969	16.37939883675034	0.14587976979547432	53160901
ESPAEMG11_S45_L003	19.589122120687488	0.3361551222684434	66.01774210238554	0.641337210242587	13.246813384059264	0.16883006035667383	24053181
ESPAEMG13_S46_L003	22.93344931176632	0.3640064603574381	61.13232378704268	0.5932209542822229	14.815891438770278	0.16110804778105947	22450151
ESPAEMG15_S47_L003	20.035976186203705	0.27394773167854336	65.23149660948248	0.680064365372041	13.598306797588119	0.1802083096751101	29323842
ESPAEMG17_S48_L003	15.839987902569417	0.29552548918465904	71.84371040563279	0.8059868638779183	11.026628916692367	0.18816042204284422	53948646
ESPAEMG19_S49_L003	26.893120350230056	0.3650493552362611	62.61359843937062	0.6966524121429104	9.265459725746894	0.16611971727326116	39756268
ESPAEMG21_S50_L003	22.640010738922726	0.4541471825146164	65.84202510048854	1.020416156500041	9.853558982428961	0.18984183914511665	43021075
ESPAEMG23_S51_L003	22.828076380087712	0.44329922507067293	65.68669121871372	1.026685877165719	9.830047543555951	0.18519975540622555	29639348
ESPAEMG25_S52_L003	24.564899221485476	0.4240116923562061	63.27174587404105	1.0493920244627744	10.500840581158915	0.18911060649557807	23568218
ESPAEMG27_S53_L003	22.406089361791548	0.5313150343865372	65.64887616054989	1.2341117969870565	9.969368344847375	0.21023930143759137	32264662
ESPAEMG29_S54_L003	22.27935769922513	0.3116193772621905	65.55139216359288	0.7788036817232206	10.911614226393826	0.16721285180274545	36770499
ESPAEMG31_S55_L003	23.056110500368003	0.32141686236085215	66.2456540685228	0.9650055313674015	9.23266715947011	0.17914587791083708	37486210
ESPAEMG33_S56_L003	26.38901096982778	0.3254162188259749	62.206204110287295	0.7097611629683621	10.20759810728171	0.16200943080887437	48806418
ESPAEMG35_S57_L003	33.07031293404031	0.29666718006236437	56.5943070130044	0.6354795842392045	9.266951461331585	0.13628182732213687	17387498
ESPAEMG37_S58_L003	32.10169444986333	0.2740538222741726	58.0296636483018	0.660625041306825	8.798840631165094	0.13512240708877798	31320490
ESPAEMG39_S59_L003	21.045371539580554	0.5293618908276854	65.62439480424483	1.563323275896033	10.879814816177694	0.35773367327320577	38453467
ESPAEMG41_S60_L003	14.17939337471744	1.266037308416272	67.447351034176	3.3462165254862684	13.043295672475768	0.7177060847282488	47576718
ESPAEMG43_S61_L003	15.429754259768096	0.7766779502228968	68.6900163002933	2.937169578364797	11.567306298483592	0.5990756128673217	38597465
ESPAEMG45_S62_L003	24.93234901364251	0.8965194950866142	60.75361725443915	2.0561569481747743	10.898435229558197	0.46292205909874956	40689355
ESPAEMG47_S63_L003	27.11051914015313	1.2816879803370749	58.23307361644734	1.9204469131238708	11.030479625428743	0.4237927245098367	15587101
ESPAEMG51_S64_L003	23.97132219082966	1.7372182925860864	58.00764479354753	3.028083354298814	12.810127700186944	0.44560366855096245	26949060
ESPAEMG53_S65_L003	26.516027281532097	1.5520510569277322	55.98307742968084	2.943552255844778	12.556389045324053	0.44890293069049964	60784856
