	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	464975	107401.0	682150.0	3377968.0	3027168.0
SRZ187076	1121795	160430.0	1423962.0	4837585.0	1013193.0
SRZ187077	1934861	67230.0	4402190.0	11171395.0	414071.0
SRZ187078	1431050	261371.0	4056569.0	12277292.0	15971020.0
SRZ187079	360034	10446.0	355088.0	1358790.0	45306.0
SRZ187080	192257	10485.0	189133.0	927341.0	73555.0
SRZ187081	191836	36910.0	198078.0	678513.0	104197.0
SRZ187082	902735	83642.0	2551541.0	5315195.0	426002.0
SRZ187083	689906	24944.0	801451.0	2711134.0	304206.0
SRZ187084	604284	60648.0	448477.0	1534538.0	321824.0
SRZ187085	976163	59210.0	1595061.0	5206997.0	207100.0
SRZ187086	413042	56608.0	567969.0	1861892.0	412417.0
SRZ187087	754883	93219.0	681995.0	1720299.0	434230.0
SRZ187088	502201	47442.0	746206.0	2236157.0	216174.0
SRZ187089	454991	47053.0	465904.0	1525602.0	450228.0
SRZ187090	521878	31431.0	675299.0	1886976.0	435002.0
SRZ187091	523984	25027.0	775218.0	2584495.0	139283.0
SRZ187092	224216	27781.0	199556.0	865151.0	810449.0
SRZ187093	467498	284979.0	128880.0	465068.0	196461.0
SRZ187094	399500	38775.0	1059210.0	2789737.0	153694.0
SRZ187095	93616	17672.0	272745.0	996587.0	1766316.0
SRZ187096	310040	51778.0	163576.0	622152.0	233023.0
SRZ187097	266173	12166.0	509603.0	1726277.0	94994.0
SRZ187098	30359	2891.0	89982.0	408959.0	569718.0
SRZ187099	430719	48810.0	283501.0	860084.0	255837.0
SRZ187100	340698	35761.0	867744.0	2304642.0	261068.0
SRZ187101	654569	52391.0	646143.0	2471501.0	866552.0
SRZ187102	603236	113713.0	696841.0	1886524.0	691669.0
SRZ187103	407824	33025.0	737653.0	2049774.0	263922.0
SRZ187104	629974	53754.0	619076.0	1911504.0	628101.0
SRZ187105	360059	82628.0	293878.0	871650.0	390815.0
SRZ187106	257811	21039.0	507878.0	1397188.0	245933.0
SRZ187107	542509	45413.0	484959.0	1828245.0	399962.0
SRZ187108	783971	124057.0	916294.0	2304679.0	709521.0
SRZ187109	224582	20696.0	316150.0	938695.0	68391.0
SRZ187110	843210	98966.0	950167.0	2677692.0	390689.0
SRZ187111	820903	133653.0	1033760.0	2393296.0	753891.0
SRZ187112	257530	6546.0	412957.0	1258815.0	34332.0
SRZ187113	502214	20589.0	917662.0	2558800.0	103676.0
SRZ187114	442015	52651.0	288917.0	1208869.0	254540.0
SRZ187115	452078	46078.0	587629.0	1515783.0	70933.0
SRZ187116	119049	22316.0	527385.0	1860920.0	430114.0
SRZ187117	623414	16156.0	504675.0	1305074.0	451257.0
SRZ187118	447229	26639.0	604172.0	1819736.0	69567.0
SRZ187119	283722	25898.0	329844.0	1051750.0	217290.0
SRZ187120	231300	44375.0	38409.0	320078.0	94094.0
SRZ187121	187462	61117.0	173865.0	926961.0	220759.0
SRZ187122	306436	45550.0	362352.0	896985.0	1056920.0
SRZ187123	765314	156930.0	1011787.0	2445619.0	426623.0
SRZ187124	704321	37314.0	1476149.0	3286943.0	60238.0
SRZ187125	268723	46240.0	537713.0	1792986.0	568517.0
SRZ187126	182215	78459.0	235290.0	1109071.0	100974.0
SRZ187127	259488	4701.0	397594.0	1068280.0	24523.0
SRZ187128	15327	5311.0	89201.0	185762.0	272121.0
SRZ187129	74953	13287.0	120886.0	540225.0	547767.0
SRZ187130	418686	101592.0	610026.0	1747945.0	333958.0
SRZ187131	265332	26124.0	479070.0	1162390.0	445773.0
SRZ187132	162513	24121.0	130734.0	557452.0	183941.0
SRZ187133	284881	13094.0	484217.0	1513098.0	141245.0
SRZ187134	244400	25681.0	441123.0	993236.0	403952.0
SRZ187135	430602	92459.0	556526.0	1321474.0	560815.0
SRZ187136	661001	25613.0	714191.0	1977084.0	520434.0
SRZ187137	104702	17392.0	198305.0	520042.0	742358.0
SRZ187138	431586	128780.0	362005.0	911973.0	377846.0
SRZ187139	271331	11779.0	485573.0	1420435.0	177112.0
SRZ187140	1406104	51429.0	2752877.0	5475681.0	685574.0
SRZ187141	164504	23100.0	62561.0	322257.0	134173.0
SRZ187142	461043	20149.0	644546.0	2192646.0	89981.0
SRZ187143	251685	12955.0	692452.0	1133814.0	130498.0
SRZ187144	362052	67125.0	180497.0	523964.0	345432.0
SRZ187145	886426	17013.0	2123810.0	6559162.0	117473.0
SRZ187146	811666	48560.0	756026.0	1703977.0	266613.0
SRZ187147	212541	77312.0	202452.0	696891.0	210829.0
SRZ187148	517419	28841.0	814304.0	2389304.0	102954.0
SRZ187149	182469	14996.0	191913.0	613929.0	91659.0
SRZ187150	350918	97141.0	416763.0	852487.0	397948.0
SRZ187151	700109	55119.0	1492362.0	2804476.0	486107.0
SRZ187152	736139	55018.0	1455829.0	2645977.0	554868.0
SRZ187153	804114	123676.0	823608.0	1543001.0	1044472.0
SRZ187154	391602	80800.0	757942.0	2044023.0	306632.0
SRZ187155	769584	84914.0	1328710.0	3658771.0	575817.0
SRZ187156	1154274	137818.0	1189079.0	3601471.0	636072.0
SRZ187157	516455	37807.0	1228264.0	3280395.0	203543.0
SRZ187158	311611	6919.0	402770.0	1006739.0	174374.0
SRZ187159	315069	53059.0	530595.0	993236.0	383759.0
SRZ187160	193496	13456.0	346149.0	893699.0	35628.0
SRZ187161	646610	120129.0	1133476.0	3394367.0	278036.0
SRZ187162	223499	50409.0	415225.0	959028.0	167152.0
SRZ187163	125801	78290.0	311682.0	742446.0	65275.0
SRZ187164	391926	107876.0	325467.0	950059.0	283719.0
SRZ187165	460883	84657.0	673758.0	1438451.0	566041.0
SRZ187166	1180897	22836.0	1685764.0	4839996.0	50522.0
SRZ187167	835279	34944.0	1846552.0	3814472.0	3798861.0
SRZ187168	476332	92057.0	806752.0	1807054.0	679280.0
SRZ187169	1079332	63696.0	1895240.0	5482125.0	49080.0
SRZ187170	374678	78698.0	798967.0	1413680.0	552560.0
SRZ187171	329836	118340.0	787796.0	1284403.0	365187.0
SRZ187172	659423	220015.0	1174584.0	3217485.0	476041.0
SRZ187173	789628	48933.0	1341165.0	3382711.0	634173.0
SRZ187174	850180	255909.0	498896.0	1207773.0	558123.0
SRZ187175	506405	16572.0	895542.0	2176293.0	44584.0
SRZ187176	641411	56846.0	897281.0	1895934.0	2619299.0
SRZ187177	517914	99585.0	698024.0	1539123.0	520111.0
SRZ187178	601109	18149.0	631494.0	1982646.0	93287.0
SRZ187179	309495	55567.0	1329919.0	2890295.0	1167014.0
SRZ187180	274413	69865.0	456693.0	1041315.0	348750.0
SRZ187181	424107	26149.0	687091.0	1905955.0	251729.0
SRZ187182	498450	51143.0	722644.0	2170529.0	1067831.0
SRZ187183	465745	118162.0	915275.0	1652597.0	508579.0
SRZ187184	773829	9487.0	1343883.0	4346294.0	44290.0
SRZ187185	270901	158693.0	583519.0	1286041.0	394606.0
SRZ187186	236404	86818.0	579684.0	1198188.0	401520.0
SRZ187187	340066	39800.0	932386.0	2515508.0	171863.0
SRZ187188	624807	163905.0	637456.0	1824835.0	680108.0
SRZ187189	375257	80393.0	463989.0	1172751.0	310979.0
SRZ187190	572285	31767.0	922953.0	2738316.0	154795.0
SRZ187191	312798	63189.0	961856.0	2311889.0	1554121.0
SRZ187192	144104	17855.0	90232.0	329297.0	166534.0
SRZ187193	567101	14852.0	1193564.0	3617917.0	22811.0
SRZ187194	351194	45105.0	809278.0	1889656.0	273348.0
SRZ187195	1092681	246140.0	1859255.0	5171226.0	972182.0
SRZ187196	569509	22622.0	1489050.0	3736940.0	40928.0
SRZ187197	341372	35478.0	1378081.0	3323569.0	332692.0
SRZ187198	606133	197520.0	1505935.0	3422434.0	1116822.0
SRZ187199	1432680	62699.0	2544381.0	6557425.0	171956.0
SRZ187200	1268003	103438.0	2229670.0	4779599.0	1571408.0
SRZ187201	352912	149362.0	984848.0	2285618.0	439112.0
SRZ187202	1269721	86145.0	1623500.0	4916648.0	773917.0
SRZ187203	1177654	105219.0	1614357.0	5049123.0	814314.0
SRZ187204	335507	128885.0	657585.0	1827247.0	316250.0
SRZ187206	200079	22674.0	769166.0	1113652.0	24238.0
SRZ187207	425721	98947.0	1858912.0	5769234.0	761560.0
SRZ187208	394235	53115.0	2088658.0	6988789.0	962747.0
SRZ187209	896814	168797.0	1960577.0	7612523.0	778531.0
SRZ187210	755835	56557.0	1573589.0	4539323.0	630038.0
SRZ187211	176650	22636.0	569463.0	2083507.0	312320.0
SRZ187212	2543799	111346.0	1100686.0	2689071.0	282791.0
SRZ187213	846646	209945.0	1078669.0	2994846.0	722175.0
SRZ187214	1484249	150881.0	1180831.0	3835024.0	819083.0
SRZ187215	1759542	220977.0	2371193.0	7263274.0	886380.0
SRZ187216	790472	106846.0	1318628.0	4024925.0	475929.0
SRZ187217	1053714	156686.0	1462680.0	3670621.0	522547.0
SRZ187218	676380	69585.0	1787210.0	6396289.0	480685.0
SRZ187219	665441	76611.0	1040110.0	5211988.0	541776.0
SRZ187220	307528	69873.0	222498.0	908901.0	249240.0
SRZ187221	239151	32878.0	221915.0	776103.0	141646.0
SRZ187222	360758	79447.0	395888.0	1161775.0	206622.0
SRZ187223	182891	59223.0	170472.0	468284.0	150000.0
SRZ187224	415875	86364.0	702902.0	2545560.0	291442.0
SRZ187225	366712	81906.0	774699.0	2630825.0	305627.0
SRZ187226	503218	78854.0	894596.0	3149864.0	370387.0
SRZ187227	324790	97702.0	719026.0	1413856.0	420287.0
SRZ187228	451921	127856.0	287049.0	2237515.0	443590.0
SRZ187229	434814	47146.0	497352.0	4745156.0	250452.0
SRZ187230	828209	38880.0	1716260.0	5495399.0	433840.0
SRZ187231	588097	134439.0	398886.0	1770024.0	372664.0
SRZ187232	1028785	167381.0	1303538.0	4799069.0	772259.0
SRZ187233	620757	110047.0	593200.0	2116478.0	289804.0
SRZ187234	764174	126827.0	1149784.0	5692349.0	236502.0
SRZ187235	508401	120787.0	909935.0	4751972.0	213658.0
SRZ187236	313088	32560.0	130879.0	337648.0	696768.0
SRZ187237	206718	37024.0	336131.0	601825.0	322523.0
SRZ187238	174927	90138.0	497485.0	1187351.0	397385.0
SRZ187239	978282	59281.0	830999.0	1892697.0	1017570.0
SRZ187240	1868633	82161.0	1594675.0	2844046.0	2199002.0
SRZ187241	323091	71528.0	274540.0	816843.0	614067.0
SRZ187242	375563	31914.0	220528.0	911042.0	668279.0
SRZ187243	430099	93717.0	1235491.0	4491895.0	800648.0
SRZ187244	1001721	73578.0	783294.0	2413219.0	2317283.0
SRZ187245	785869	70215.0	1071783.0	2298480.0	2914385.0
SRZ187246	543309	195471.0	940079.0	6282164.0	3209443.0
SRZ187247	309444	51218.0	393375.0	1104378.0	610603.0
SRZ187248	345567	130409.0	438236.0	1334357.0	1817572.0
SRZ187249	293266	118409.0	752130.0	1836069.0	1930551.0
SRZ187250	190019	25519.0	429279.0	913470.0	883769.0
SRZ187251	1438207	75282.0	1685283.0	3976208.0	1244654.0
SRZ187252	257857	5717.0	357369.0	925245.0	185748.0
SRZ187253	288789	61591.0	186746.0	399170.0	611177.0
SRZ187254	407023	72926.0	296189.0	685799.0	460496.0
SRZ187255	528139	121796.0	836049.0	1705370.0	740974.0
SRZ187256	417689	59683.0	510214.0	1234663.0	552779.0
SRZ187257	526977	115903.0	958073.0	1646665.0	754194.0
