	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	5543014	2212980	7983031	9150697	11958014
SRZ187076	9004303	5057657	8244060	10718368	5669564
SRZ187077	10956919	2172090	18642147	22410459	3982450
SRZ187078	11321507	5748735	17773497	23501537	30607730
SRZ187079	2080541	513010	2643198	3321360	1015384
SRZ187080	1034308	507359	1461977	2093982	811551
SRZ187081	928015	878227	1738931	1987636	1153783
SRZ187082	5652663	1634598	10945585	11731911	3691329
SRZ187083	3493390	1021791	4938515	6302068	2222551
SRZ187084	2288262	1186232	3380618	3968325	1825275
SRZ187085	4778146	1162994	7617896	10004998	2173446
SRZ187086	1899284	917142	2727370	3786683	1792097
SRZ187087	3055758	1835315	4770034	5051084	2698532
SRZ187088	3229148	802369	4272968	5090808	1767326
SRZ187089	2356247	778947	2853759	3629416	2006474
SRZ187090	2538415	1006769	4427821	4719983	3571700
SRZ187091	3002336	611522	4026318	5141373	1485837
SRZ187092	2259676	822503	3137533	3113117	3268336
SRZ187093	4177951	4741667	1841076	1879375	1234831
SRZ187094	3178864	882620	5968181	7734869	2119177
SRZ187095	1613050	912914	3059353	3345544	5957863
SRZ187096	1414400	1011486	2361029	2217607	1522516
SRZ187097	2658660	749707	4184705	4597641	1728889
SRZ187098	774474	387439	1128868	1384992	2607543
SRZ187099	2084219	2067236	3412598	3142900	2056002
SRZ187100	3841051	1147604	6550241	6737812	3073243
SRZ187101	3288149	1462705	5631192	6300276	4827598
SRZ187102	2872124	2107352	6492254	5995384	3683541
SRZ187103	3822601	1211705	5668768	6098571	2647335
SRZ187104	2546546	1042500	3509009	4328023	2758356
SRZ187105	1861689	1316793	3044131	2873500	1977876
SRZ187106	2997415	992686	4662401	4638111	2453255
SRZ187107	2004219	868511	3350096	4078822	2288714
SRZ187108	3388247	2058007	6266009	6106425	3440517
SRZ187109	2455005	599243	3055263	3109507	1221777
SRZ187110	4634665	1616243	6769849	7072270	3287997
SRZ187111	5119937	3352108	7187119	6783091	3764392
SRZ187112	2303662	521781	3184372	3537843	1017051
SRZ187113	4092053	1000551	5585347	6375076	1912607
SRZ187114	2737063	1643772	4278996	4175472	2190241
SRZ187115	3511627	1749222	4137732	4281718	1587333
SRZ187116	2878473	2092616	5286724	5677448	3220245
SRZ187117	2638778	1389565	4627460	4147606	2537611
SRZ187118	3404152	712063	4575572	4754771	1535074
SRZ187119	2594987	770728	4328785	4156207	2015166
SRZ187120	672471	955446	1087532	1098315	620613
SRZ187121	1284716	866043	2709674	2766841	1458344
SRZ187122	3713089	1040735	5277656	4764186	4693280
SRZ187123	3112772	1649758	6153197	5970181	2630845
