	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	3532619	1104313	5449943	7154629	8356280
SRZ187076	5642303	2336140	5269981	8922400	3575242
SRZ187077	8239151	1264556	13608593	19095903	2084125
SRZ187078	7673640	3108441	11971093	20004685	25662978
SRZ187079	1564182	246680	1715840	2744975	513763
SRZ187080	715901	203416	898216	1690438	427915
SRZ187081	601507	480214	1015422	1475234	568747
SRZ187082	3839029	848001	7415937	9639666	2054553
SRZ187083	2528975	509140	3336678	5181350	1302181
SRZ187084	1625727	653984	2009888	2992129	1034143
SRZ187085	3529676	668878	5234554	8515275	1222294
SRZ187086	1263374	441601	1762812	3044235	1123573
SRZ187087	2000924	961787	2835407	3657649	1517129
SRZ187088	2323782	410882	2830514	4218058	1048273
SRZ187089	1439011	386751	1787300	2895641	1306710
SRZ187090	1577968	403590	2727764	3694399	2519935
SRZ187091	2227968	312336	2813055	4426838	832071
SRZ187092	1410887	315525	1801725	2222119	2140590
SRZ187093	2892048	2372362	872753	1194687	641192
SRZ187094	2194313	439551	3966101	6570581	1115568
SRZ187095	840616	385903	1665471	2390326	4447895
SRZ187096	902342	545352	1310290	1517500	822974
SRZ187097	1848492	367158	2663876	3678564	867659
SRZ187098	351106	121588	524567	923970	1802562
SRZ187099	1247337	1410311	1923106	2131783	1078402
SRZ187100	2485369	576011	4008639	5241329	1644718
SRZ187101	1801448	558698	2967276	4536962	2920046
SRZ187102	1821480	1150266	3746686	4110425	2118519
SRZ187103	2483900	583475	3520022	4831170	1442239
SRZ187104	1603703	465957	2130514	3373809	1759731
SRZ187105	1173398	731495	1651670	1947905	1129835
SRZ187106	2037793	547334	2930146	3531207	1359189
SRZ187107	1256035	367419	1918303	3107612	1334274
SRZ187108	2246699	1130658	3770532	4480158	1999510
SRZ187109	1572337	274426	1840535	2371302	635220
SRZ187110	2803718	717930	4279982	5469038	1765359
SRZ187111	2865388	1430437	4157191	4836637	2153694
SRZ187112	1656002	228505	2053087	2851203	473023
SRZ187113	2727162	479906	3513099	5110394	945435
SRZ187114	1612224	545611	2199200	2772731	1056441
SRZ187115	2312387	858000	2542565	3400093	713885
SRZ187116	1676937	473169	3310999	4264951	1945973
SRZ187117	1503588	606549	2538905	2678872	1314367
SRZ187118	2188810	331723	2755785	3691066	725992
SRZ187119	1685785	301873	2618333	3014098	1024152
SRZ187120	404047	155079	418708	643413	255030
SRZ187121	685719	330593	1301855	1821508	656204
SRZ187122	1955508	405978	2784948	3134859	3044162
SRZ187123	2077022	948164	3912106	4551872	1439239
SRZ187124	3448837	454626	5433747	6658321	838739
SRZ187125	1622838	530766	2860284	3716532	2346198
SRZ187126	858575	923128	1071610	1966937	517662
SRZ187127	1053340	106131	1433524	1984730	295166
SRZ187128	204424	94622	507295	570016	868834
SRZ187129	557096	237293	1102439	1491320	1751452
SRZ187130	1736341	753334	2754709	3609592	1559033
SRZ187131	1270302	389079	2862686	2643514	1745274
SRZ187132	662224	440293	792293	1343582	609265
SRZ187133	1514510	465945	1844952	2880651	822541
SRZ187134	1243878	421172	2253298	2469171	1870885
SRZ187135	1630981	873677	2797541	2928235	1709045
SRZ187136	2483785	493928	3150337	4088362	2076385
SRZ187137	517974	224711	898463	1220470	1968563
SRZ187138	1282105	618476	2052699	2049893	1030292
SRZ187139	1669374	385944	2629642	3496647	1219357
SRZ187140	4563890	890781	7929431	11451042	2747962
SRZ187141	470696	227821	586039	747349	452550
SRZ187142	2371946	457531	3168654	4482763	1046465
SRZ187143	1444368	368634	2817298	2890419	1047711
SRZ187144	975724	497311	1329955	1408851	978147
SRZ187145	3200480	527599	5967708	10244074	749458
SRZ187146	3808039	601509	2775466	3587222	978059
SRZ187147	1137672	554586	1711020	2071230	728472
SRZ187148	1928579	340558	2791736	4945343	544577
SRZ187149	1108588	247765	1204828	1493572	419338
SRZ187150	1513959	1254303	2115657	2111758	1181791
SRZ187151	2605630	676668	4622152	5845488	1408603
SRZ187152	2844291	769315	4961507	5848491	1612172
SRZ187153	2414160	1254226	3270421	3320856	2284949
SRZ187154	1623455	570466	2721379	3941418	811894
SRZ187155	2634049	570389	4402746	6616661	1351676
SRZ187156	3409375	1008409	4548606	6929860	1645003
SRZ187157	2698382	574733	4702042	6434394	1011494
SRZ187158	1607127	350745	3058371	3013497	850724
SRZ187159	1011228	593202	2196325	2180309	1133511
SRZ187160	1032117	432016	1374281	1896040	231131
SRZ187161	2898568	854663	3580492	6163769	980653
SRZ187162	1375522	690811	2662648	2969991	982949
SRZ187163	1160421	598248	1975854	2417040	421029
SRZ187164	1597054	510336	1958374	2505649	854851
SRZ187165	1915381	1072816	3749659	3893283	1741704
SRZ187166	2489987	248053	3430577	6517501	327446
SRZ187167	2615974	624952	4971556	6571423	6540866
SRZ187168	1648388	946223	3402094	3759422	1605068
SRZ187169	2466471	352854	3854794	7348816	311597
SRZ187170	1887485	482420	3094325	3538187	1490634
SRZ187171	1394018	1258412	2112750	2470497	978341
SRZ187172	3035452	1178094	4301998	6369948	1165341
SRZ187173	2995001	666322	5528457	8226101	1585240
SRZ187174	2918871	1081955	3554596	4209228	1635820
SRZ187175	1605015	234507	2267037	4151474	253381
SRZ187176	1938921	502885	2958184	3711857	4708392
SRZ187177	1383194	738950	2642742	3122008	1354707
SRZ187178	1818469	340497	2048103	3385636	363920
SRZ187179	2046119	744850	3883137	5273681	3008119
SRZ187180	1636051	1032772	2210188	2434925	1044415
SRZ187181	1958681	379938	2812874	3916077	833066
SRZ187182	1898930	500496	2859554	4351257	2301706
SRZ187183	1857790	1246340	2656198	3245470	1277953
SRZ187184	2337463	326301	3030169	6480603	314024
SRZ187185	1331072	939655	2034466	2518919	1396079
SRZ187186	1262886	792328	2719403	2891122	1186685
SRZ187187	2048881	436301	3148605	4716025	781469
SRZ187188	2131277	814106	2574561	3448175	1812831
SRZ187189	1435189	714489	1960827	2398492	1005990
SRZ187190	2017976	356877	2902869	4818002	595287
SRZ187191	1509916	566791	3084944	4483556	3314015
SRZ187192	647166	370765	790457	989906	477270
SRZ187193	1971037	261027	3153296	5542633	319019
SRZ187194	1390014	460315	2329448	3443716	748111
SRZ187195	5646517	2211184	8028183	10440569	2938922
SRZ187196	1925848	289399	3336429	5617768	325119
SRZ187197	1603894	518562	3654552	5605545	968224
SRZ187198	2960783	1762089	6422038	6813756	4391637
SRZ187199	3292803	423363	4920438	8735062	604467
SRZ187200	4984297	1065254	9020372	11088323	3474546
SRZ187201	2672567	1869316	3963294	5298390	1748102
SRZ187202	4367832	1013515	5516475	9171281	1947335
SRZ187203	4270782	1045496	5522788	9341881	1989784
SRZ187204	2139658	1177344	2664121	4159029	1099573
SRZ187206	914396	297956	1627304	1836443	223449
SRZ187207	2150772	859223	5232206	9260532	1523125
SRZ187208	1720642	610131	5532731	10490780	1833556
SRZ187209	3026820	981853	4938589	10695827	1995523
SRZ187210	2163614	736791	4623096	7318980	1688265
SRZ187211	1212486	561180	2837827	4402467	1179286
SRZ187212	4308704	712364	2621920	4358076	739106
SRZ187213	2529386	1237289	3103398	5119014	1382237
SRZ187214	3271215	1133805	3331961	6175673	1477682
SRZ187215	4301429	981639	5610963	10696877	1903896
SRZ187216	2813048	868738	3903118	6713067	1389574
SRZ187217	3105234	1006458	4154288	6651324	1647878
SRZ187218	2226661	553491	5638908	9552993	1190120
SRZ187219	2197873	686066	4101976	8217368	1313506
SRZ187220	1172504	510018	1792776	2563998	763605
SRZ187221	1047962	494490	1941389	2382339	752383
SRZ187222	1564453	706293	2495350	3396157	982097
SRZ187223	846894	405181	1025865	1561794	575178
SRZ187224	1766479	766044	2528297	4171677	1138650
SRZ187225	1434513	576334	2604650	4207438	939454
SRZ187226	1633888	551100	3063917	5100097	1021198
SRZ187227	1139950	594544	3034419	3333214	1025109
SRZ187228	1356528	771085	2523851	4007505	1173698
SRZ187229	1252252	476706	2419759	6413032	856755
SRZ187230	4169405	635663	5203935	8727438	1312930
SRZ187231	3544018	1887666	2547807	3778628	1036352
SRZ187232	3581019	913682	5306275	8349717	1816683
SRZ187233	2245606	780666	2984190	4748942	1160505
SRZ187234	2856496	941677	4534488	9525672	1144876
SRZ187235	2341311	905323	3888418	8102183	1052959
SRZ187236	920041	434655	991496	1184141	3528185
SRZ187237	1013753	691869	2134225	2223401	1641718
SRZ187238	882103	709894	2820908	3126116	1839448
SRZ187239	2129429	713291	2729338	3437106	2353454
SRZ187240	3828093	922455	5397429	5661448	4115472
SRZ187241	1273083	753810	1935388	2072283	2152175
SRZ187242	1043853	617720	2083235	2349962	1757170
SRZ187243	1779420	637825	4912341	7649799	2264408
SRZ187244	2177895	587634	2596886	3767821	4219695
SRZ187245	2102015	885541	3740767	4588242	7330109
SRZ187246	1888610	1325106	3313573	8485203	5748939
SRZ187247	1042173	732833	2216451	2660418	2641685
SRZ187248	1449268	1089024	2408104	2952201	5929977
SRZ187249	2169867	790234	3554600	4413114	6667901
SRZ187250	1074115	416073	1888942	2402783	4331378
SRZ187251	5143089	963875	6222052	8038835	3441868
SRZ187252	1088045	223538	1647978	2185047	910883
SRZ187253	1294118	733627	1966928	1891252	2163030
SRZ187254	1734306	611627	1951964	1690805	1787094
SRZ187255	1432853	937860	3505757	3675012	1923657
SRZ187256	1193764	846160	3616754	3061598	1588515
SRZ187257	1504037	1006910	3715626	3558821	1845593
SRZ187258	3206791	647514	4888533	6385038	1522914
SRZ187259	1768483	405020	3458280	4009315	1016122
SRZ187260	4759422	2600512	5517429	7284743	2333518
SRZ187261	1886258	603928	3032091	4086639	5738358
SRZ187262	1613138	1035145	3838079	4607519	2397597
SRZ187263	1349646	1030667	4315333	6156425	2684830
SRZ187264	1086966	700294	3274494	4307346	1874341
SRZ187265	1076497	100526	1139296	1122086	347758
SRZ187266	247296	115435	972100	747891	304891
SRZ187267	243438	148925	236335	241177	313992
SRZ187268	622074	348241	820162	872168	974533
SRZ187269	1800483	924541	2943333	3558242	2506937
SRZ187270	1096361	607221	2995437	2591863	1771371
