	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187340	300844	378568.0	1508948.0	510002.0	335440.0
SRZ187341	258023	145791.0	926267.0	1231005.0	644466.0
SRZ187342	323015	177497.0	1087825.0	1827714.0	603726.0
SRZ187343	426188	182107.0	1274200.0	2310331.0	717378.0
SRZ187344	209648	121721.0	922458.0	1567853.0	555975.0
SRZ187345	1874724	388036.0	3452649.0	7670905.0	379735.0
SRZ187346	1356751	365135.0	2959769.0	5498224.0	520637.0
SRZ187347	691329	134991.0	1022355.0	2003000.0	822692.0
SRZ187348	632630	189112.0	805161.0	1887306.0	640053.0
SRZ187349	315873	207193.0	547378.0	654399.0	607128.0
SRZ187350	2116274	390428.0	4585709.0	8133681.0	664811.0
SRZ187351	888977	105124.0	1445532.0	2964846.0	156295.0
SRZ187352	1136857	240966.0	1405100.0	2633564.0	220255.0
SRZ187353	493930	220937.0	928713.0	2317900.0	2726815.0
SRZ187354	467721	175290.0	405959.0	625081.0	578032.0
SRZ187355	1228315	381218.0	1806024.0	3789329.0	838234.0
SRZ187356	346561	203684.0	956234.0	2043133.0	522935.0
SRZ187357	5957629	2703233.0	9806737.0	28144524.0	4725317.0
SRZ187358	2323675	1122194.0	4436075.0	10747906.0	1039369.0
SRZ187359	687807	438332.0	1305777.0	2697354.0	400818.0
SRZ187360	1479619	761972.0	3552139.0	7568907.0	709588.0
SRZ187361	3120812	449698.0	6044891.0	16333608.0	690555.0
SRZ187362	1135131	229886.0	1724130.0	3118270.0	2166891.0
SRZ187363	498483	279561.0	802732.0	1869383.0	575846.0
SRZ187364	280143	345241.0	587674.0	901760.0	361125.0
SRZ187365	274894	230599.0	343465.0	611901.0	272732.0
SRZ187366	1563500	286290.0	2527713.0	6694835.0	139615.0
SRZ187367	483637	88345.0	758248.0	1625191.0	79540.0
SRZ187368	544841	88616.0	855139.0	1939041.0	209972.0
SRZ187369	351228	89574.0	267942.0	425727.0	229597.0
SRZ187370	414627	254605.0	719490.0	1052463.0	575586.0
SRZ187371	1287869	331641.0	2345907.0	4714133.0	1517939.0
SRZ187372	945624	308277.0	1238648.0	2093692.0	763430.0
SRZ187373	1286230	215052.0	2196280.0	3694710.0	623577.0
SRZ187374	1155269	412335.0	896536.0	1876299.0	637892.0
SRZ187375	897167	190321.0	1319089.0	2358931.0	930772.0
SRZ187376	769943	266241.0	1535998.0	2321107.0	1530977.0
SRZ187377	462472	275622.0	186476.0	439292.0	238704.0
SRZ187378	1020249	222628.0	1393445.0	2557046.0	593140.0
SRZ187379	297781	192039.0	338442.0	523802.0	1701584.0
SRZ187380	1271599	523790.0	1548579.0	3853083.0	753970.0
SRZ187381	1686810	262773.0	2082841.0	3025941.0	516263.0
SRZ187382	686756	389863.0	1012321.0	1566729.0	2108258.0
SRZ187383	633357	157825.0	796146.0	1641883.0	744402.0
SRZ187384	1101598	212315.0	1781821.0	3584578.0	444914.0
SRZ187385	1021358	173500.0	1528569.0	3265582.0	212448.0
SRZ187386	1138372	299203.0	1632699.0	3372181.0	614763.0
SRZ187387	170956	104799.0	467419.0	844825.0	2350438.0
SRZ187388	240702	85770.0	257938.0	541401.0	1077970.0
SRZ187389	751203	124516.0	1273758.0	2501405.0	231261.0
SRZ187390	647874	203064.0	1003068.0	2072390.0	371456.0
SRZ187391	125746	154218.0	205268.0	356908.0	1953016.0
SRZ187392	982729	223856.0	1345305.0	2655334.0	214629.0
SRZ187393	1057291	152668.0	1087192.0	2017896.0	485998.0
SRZ187394	119629	138683.0	68832.0	92418.0	44464.0
SRZ187395	542233	108286.0	637869.0	824572.0	459031.0
SRZ187396	396772	275628.0	287700.0	398079.0	1709900.0
SRZ187397	405005	354903.0	1541071.0	3054828.0	682457.0
SRZ187398	591200	119253.0	956612.0	2244967.0	267074.0
SRZ187399	1250853	253190.0	931779.0	1442033.0	1374518.0
SRZ187400	171346	158488.0	317155.0	544017.0	258772.0
SRZ187401	454789	201350.0	1036528.0	2855131.0	489232.0
SRZ187402	739392	370558.0	1853619.0	5375944.0	619834.0
SRZ187403	1638264	795228.0	1108633.0	4023212.0	3063321.0
SRZ187404	1297555	804461.0	1726741.0	6105187.0	2817152.0
SRZ187405	462773	263831.0	1890377.0	4271930.0	845286.0
SRZ187406	2388212	209098.0	1113214.0	2176091.0	800178.0
SRZ187407	620576	228466.0	215015.0	413541.0	289855.0
SRZ187408	699541	218191.0	778065.0	1165938.0	525906.0
SRZ187409	407759	301906.0	915747.0	1495993.0	3569859.0
SRZ187410	388812	227486.0	1032076.0	2330175.0	642713.0
SRZ187411	645685	206632.0	674719.0	1560180.0	576649.0
SRZ187412	341042	212430.0	868759.0	2410053.0	3512849.0
SRZ187413	298746	297164.0	207420.0	274789.0	527503.0
SRZ187414	421983	145711.0	692707.0	1318032.0	351799.0
SRZ187415	521636	120457.0	1037544.0	2569316.0	513991.0
SRZ187416	264840	39026.0	863419.0	1320970.0	353826.0
SRZ187417	301515	260668.0	404821.0	918342.0	599213.0
SRZ187418	431906	79852.0	1376564.0	2408754.0	148376.0
SRZ187419	289760	109694.0	833406.0	1690917.0	453600.0
SRZ187420	710424	244395.0	317387.0	629144.0	284110.0
SRZ187421	868258	166572.0	1764469.0	3324463.0	791570.0
SRZ187422	1175834	406028.0	2062622.0	3729100.0	2052134.0
SRZ187423	386994	113749.0	1316044.0	1945700.0	725281.0
SRZ187424	736202	204042.0	648328.0	837581.0	3072149.0
SRZ187425	232339	151334.0	359292.0	568385.0	1894629.0
SRZ187426	244019	278782.0	481801.0	544850.0	235686.0
SRZ187427	353851	305012.0	855365.0	1541743.0	399410.0
SRZ187428	488401	300217.0	1664945.0	3458969.0	828706.0
SRZ187429	933190	257765.0	1632345.0	3013647.0	1818038.0
SRZ187430	2508975	653743.0	2053215.0	3810979.0	1090223.0
SRZ187431	849375	519427.0	3067789.0	28491798.0	1379976.0
SRZ187432	325122	423736.0	1157382.0	7544761.0	561628.0
SRZ187433	175352	239596.0	1403324.0	24677979.0	276017.0
SRZ187434	712337	439500.0	3494632.0	20138259.0	1245088.0
SRZ187435	1920087	543955.0	2299626.0	4050409.0	4119119.0
SRZ187436	877011	161570.0	785831.0	1123774.0	1101985.0
SRZ187437	422493	154861.0	515048.0	747798.0	1706840.0
SRZ187438	649411	299389.0	1119671.0	3400899.0	2398649.0
SRZ187439	276656	235599.0	704349.0	1040916.0	1526026.0
SRZ187440	404485	398547.0	627718.0	795971.0	658433.0
SRZ187441	248772	273632.0	1090325.0	4480932.0	750346.0
SRZ187442	243877	137734.0	597744.0	676784.0	1678457.0
SRZ187443	724467	255423.0	1315685.0	2137581.0	1417690.0
SRZ187444	637230	174992.0	1094776.0	1740671.0	948592.0
SRZ187445	405382	106095.0	1032292.0	1514105.0	723090.0
SRZ187446	616535	138282.0	1166720.0	1665567.0	817508.0
SRZ187447	640322	220587.0	1384506.0	2167852.0	1165177.0
SRZ187448	449079	208285.0	570269.0	821814.0	879077.0
SRZ187449	126432	233978.0	1018901.0	2113991.0	375473.0
SRZ187450	705419	431124.0	2557577.0	7616905.0	464513.0
SRZ187451	451309	110899.0	1012664.0	1249600.0	542836.0
SRZ187452	467874	60151.0	608788.0	826228.0	342544.0
SRZ187453	811666	219680.0	999630.0	1438444.0	1714782.0
SRZ187454	910585	213357.0	1052653.0	1628541.0	1842760.0
SRZ187455	869085	233169.0	1086135.0	1366466.0	1167534.0
SRZ187456	721876	191775.0	933005.0	1439104.0	1469955.0
SRZ187457	698868	195369.0	926336.0	1252140.0	1474162.0
SRZ187458	460857	134946.0	726231.0	994015.0	1014480.0
SRZ187459	781265	233348.0	1199921.0	1841624.0	1709703.0
SRZ187460	669739	176669.0	1105799.0	1116919.0	1364517.0
SRZ187461	626356	221458.0	1001412.0	1255919.0	1618571.0
SRZ187462	481248	114229.0	649035.0	1211623.0	736848.0
SRZ187463	455763	75965.0	655349.0	984985.0	798543.0
SRZ187464	359081	119845.0	613640.0	1168455.0	795939.0
SRZ187465	355597	97429.0	492103.0	792455.0	737250.0
SRZ187466	151182	71172.0	164268.0	654054.0	1180430.0
SRZ187467	529154	163770.0	632624.0	1365854.0	1229983.0
SRZ187468	147078	67337.0	306309.0	966072.0	577576.0
SRZ187469	525811	108696.0	752903.0	1108191.0	896437.0
SRZ187470	486576	177384.0	661009.0	1247777.0	798212.0
SRZ187471	380433	105705.0	499876.0	1068861.0	882807.0
SRZ187472	832790	146331.0	902828.0	1117112.0	1305894.0
SRZ187473	464282	124537.0	1176758.0	2128111.0	935020.0
SRZ187474	427291	124941.0	1294411.0	1484676.0	1126128.0
SRZ187475	402233	103568.0	1108629.0	1809092.0	1016001.0
SRZ187476	640146	171455.0	1434170.0	2608557.0	1441146.0
SRZ187477	512225	245206.0	928072.0	1313233.0	1130671.0
SRZ187478	1401327	1262134.0	5120674.0	10333558.0	907861.0
SRZ187479	816274	216684.0	1180666.0	1806659.0	1731948.0
SRZ187480	560025	143110.0	304972.0	1125039.0	994328.0
SRZ187481	920385	191236.0	1405792.0	2090540.0	1586451.0
SRZ187482	828893	211099.0	1283134.0	1867694.0	1356626.0
SRZ187483	688730	160959.0	1414675.0	2162507.0	1342041.0
SRZ187484	1436794	356756.0	2682611.0	7599338.0	322501.0
SRZ187485	841759	200642.0	2105633.0	4630090.0	387150.0
SRZ187486	511483	135509.0	875906.0	2718887.0	322291.0
SRZ187487	590426	260998.0	876616.0	2869736.0	436241.0
SRZ187488	351434	226352.0	487279.0	2125042.0	208499.0
SRZ187489	905760	194660.0	2025694.0	2852033.0	685865.0
SRZ187490	1052915	208077.0	2370852.0	3398346.0	781037.0
SRZ187491	559987	140051.0	1089331.0	1489385.0	852635.0
SRZ187492	545824	170850.0	1228303.0	2044442.0	1188417.0
SRZ187493	576413	189890.0	1207387.0	1873120.0	1083792.0
SRZ187494	505302	117796.0	1113248.0	1691904.0	913276.0
SRZ187495	564294	161870.0	1137138.0	1971501.0	1192061.0
SRZ187496	785149	220728.0	1263960.0	1859638.0	1369754.0
SRZ187497	1106032	391470.0	1452762.0	2351070.0	1706377.0
SRZ187498	747176	144272.0	1057731.0	1878014.0	1240746.0
SRZ187499	303776	80268.0	470660.0	1092553.0	583409.0
SRZ187500	434065	142775.0	526140.0	1832536.0	1136801.0
SRZ187501	384694	100604.0	636997.0	848985.0	674994.0
SRZ187502	409192	98511.0	628802.0	712792.0	716763.0
SRZ187503	287526	62675.0	607522.0	767926.0	570317.0
SRZ187504	337980	94051.0	554447.0	587472.0	696120.0
SRZ187505	231016	85363.0	307780.0	709582.0	1226199.0
SRZ187506	628731	108300.0	1110580.0	1386307.0	608386.0
SRZ187507	344356	84487.0	838668.0	1346834.0	616911.0
SRZ187508	952399	314462.0	2160264.0	3747623.0	1702540.0
SRZ187509	660602	324299.0	1718281.0	2560675.0	2168302.0
SRZ187510	370124	156291.0	886855.0	1813731.0	3026843.0
SRZ187511	86378	118882.0	729598.0	2776379.0	183368.0
SRZ187512	537953	146932.0	970167.0	2199980.0	1110425.0
SRZ187513	1295319	528359.0	3330509.0	4667332.0	4508401.0
SRZ187514	267660	51366.0	877452.0	1374940.0	825731.0
SRZ187515	226143	75084.0	700795.0	1502975.0	847877.0
SRZ187516	217219	127217.0	418236.0	844195.0	1580250.0
SRZ187517	769424	209499.0	1451077.0	2065625.0	910674.0
SRZ187518	391066	77032.0	759228.0	1239573.0	352510.0
SRZ187519	233451	63500.0	483174.0	631755.0	242414.0
SRZ187520	820065	534381.0	1471097.0	2699610.0	1969209.0
SRZ187521	257517	235580.0	1390737.0	4239753.0	486632.0
SRZ187522	905435	531187.0	3111628.0	9684580.0	515603.0
SRZ187523	486940	146949.0	759058.0	1271419.0	760677.0
SRZ187524	676896	311837.0	1281105.0	2293301.0	1439112.0
SRZ187525	727470	188799.0	1056329.0	1716726.0	893908.0
SRZ187526	465829	140945.0	1058125.0	1385109.0	791881.0
SRZ187527	208850	73139.0	536247.0	566895.0	466473.0
SRZ187528	310677	71047.0	834830.0	909531.0	424196.0
SRZ187529	446649	93025.0	942617.0	1339753.0	495262.0
SRZ187530	363181	46002.0	848798.0	797474.0	341401.0
SRZ187531	322391	133635.0	964075.0	1200984.0	540803.0
SRZ187532	1034243	505519.0	3073837.0	4805424.0	2153544.0
SRZ187533	359458	106910.0	985741.0	1049991.0	541024.0
